model,steering_vector,position,method,set,r2,intercept,top_features
gemma,harmfull,-1,lars,negative,0.361875889252245,,blocks.0.hook_resid_pre:0.4387; blocks.0.hook_attn_out:0.7327; blocks.0.hook_mlp_out:0.3760; blocks.9.hook_mlp_out:1.1540; blocks.5.hook_mlp_out:0.2309; blocks.8.hook_mlp_out:0.2255; blocks.5.hook_attn_out:0.4597; blocks.9.hook_attn_out:0.0000; blocks.7.hook_attn_out:0.0000; blocks.1.hook_attn_out:0.0000; blocks.7.hook_mlp_out:0.0000; blocks.6.hook_mlp_out:0.0000; blocks.6.hook_attn_out:0.0000; blocks.3.hook_attn_out:0.0000; blocks.1.hook_mlp_out:0.0000; blocks.3.hook_mlp_out:0.0000; blocks.4.hook_mlp_out:0.0000; blocks.8.hook_attn_out:0.0000; blocks.2.hook_attn_out:0.0000; blocks.2.hook_mlp_out:0.0000; blocks.4.hook_attn_out:0.0000
gemma,harmfull,-1,lars,positive,0.3995322869988086,,blocks.0.hook_resid_pre:0.5289; blocks.0.hook_mlp_out:0.5851; blocks.7.hook_mlp_out:1.0025; blocks.5.hook_mlp_out:0.3839; blocks.9.hook_mlp_out:0.8521; blocks.3.hook_mlp_out:0.4139; blocks.9.hook_attn_out:0.1345; blocks.2.hook_mlp_out:0.0000; blocks.0.hook_attn_out:0.0000; blocks.1.hook_mlp_out:0.0000; blocks.8.hook_mlp_out:0.0000; blocks.6.hook_attn_out:0.0000; blocks.7.hook_attn_out:0.0000; blocks.1.hook_attn_out:0.0000; blocks.6.hook_mlp_out:0.0000; blocks.8.hook_attn_out:0.0000; blocks.5.hook_attn_out:0.0000; blocks.3.hook_attn_out:0.0000; blocks.4.hook_mlp_out:0.0000; blocks.2.hook_attn_out:0.0000; blocks.4.hook_attn_out:0.0000
gemma,harmfull,-1,diff,pos-vs-neg,,,blocks.10.hook_resid_pre:2.7116; blocks.0.hook_resid_pre:1.7970; blocks.0.hook_attn_out:-0.8437; blocks.1.hook_attn_out:-0.5619; blocks.5.hook_mlp_out:0.4824; blocks.7.hook_mlp_out:0.4052; blocks.3.hook_mlp_out:0.3047; blocks.6.hook_mlp_out:0.2816; blocks.1.hook_mlp_out:-0.2614; blocks.9.hook_mlp_out:0.2457; blocks.0.hook_mlp_out:0.2151; blocks.8.hook_mlp_out:0.1409; blocks.2.hook_mlp_out:0.1142; blocks.9.hook_attn_out:0.1021; blocks.7.hook_attn_out:0.1017; blocks.8.hook_attn_out:0.0993; blocks.5.hook_attn_out:0.0746; blocks.3.hook_attn_out:-0.0702; blocks.6.hook_attn_out:0.0699; blocks.2.hook_attn_out:-0.0405; blocks.4.hook_attn_out:0.0368; blocks.4.hook_mlp_out:0.0177
gemma,harmfull,-1,Component Similarities,All,,,blocks.10.hook_resid_pre:0.2172; blocks.5.hook_mlp_out:0.1812; blocks.7.hook_mlp_out:0.1621; blocks.6.hook_mlp_out:0.1071; blocks.3.hook_mlp_out:0.0824; blocks.9.hook_mlp_out:0.0819; blocks.7.hook_attn_out:0.0594; blocks.8.hook_attn_out:0.0574; blocks.9.hook_attn_out:0.0530; blocks.8.hook_mlp_out:0.0521; blocks.5.hook_attn_out:0.0412; blocks.1.hook_attn_out:-0.0335; blocks.1.hook_mlp_out:-0.0333; blocks.6.hook_attn_out:0.0301; blocks.2.hook_mlp_out:0.0224; blocks.0.hook_resid_pre:0.0168; blocks.3.hook_attn_out:-0.0152; blocks.4.hook_attn_out:0.0134; blocks.0.hook_attn_out:-0.0129; blocks.0.hook_mlp_out:0.0085; blocks.2.hook_attn_out:-0.0070; blocks.4.hook_mlp_out:0.0062
gemma2,1161,all,lars,negative,0.9555687054331388,,blocks.0.hook_resid_post:9.5967; blocks.6.ln1_post.hook_normalized:10.1944; blocks.11.ln2_post.hook_normalized:16.3817; blocks.9.ln2_post.hook_normalized:8.5534; blocks.0.ln1_post.hook_normalized:5.7430; blocks.7.ln2_post.hook_normalized:2.0557; blocks.20.ln2_post.hook_normalized:2.1752; blocks.6.ln2_post.hook_normalized:0.0000; blocks.15.ln1_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.1.ln1_post.hook_normalized:0.0000; blocks.15.ln2_post.hook_normalized:0.0000; blocks.16.ln2_post.hook_normalized:0.0000; blocks.2.ln1_post.hook_normalized:0.0000; blocks.10.ln1_post.hook_normalized:0.0000; blocks.8.ln2_post.hook_normalized:0.0000; blocks.19.ln2_post.hook_normalized:0.0000; blocks.18.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000; blocks.7.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.3.ln2_post.hook_normalized:0.0000; blocks.4.ln2_post.hook_normalized:0.0000; blocks.19.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.5.ln2_post.hook_normalized:0.0000; blocks.1.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.0.ln2_post.hook_normalized:0.0000; blocks.16.ln1_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.3.ln1_post.hook_normalized:0.0000; blocks.5.ln1_post.hook_normalized:0.0000; blocks.9.ln1_post.hook_normalized:0.0000; blocks.17.ln1_post.hook_normalized:0.0000; blocks.4.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.20.ln1_post.hook_normalized:0.0000; blocks.18.ln1_post.hook_normalized:0.0000; blocks.17.ln2_post.hook_normalized:0.0000; blocks.2.ln2_post.hook_normalized:0.0000; blocks.8.ln1_post.hook_normalized:0.0000
gemma2,1161,all,lars,positive,0.6742037319034212,,blocks.0.hook_resid_post:7.3372; blocks.6.ln1_post.hook_normalized:14.0079; blocks.11.ln2_post.hook_normalized:10.2205; blocks.9.ln2_post.hook_normalized:9.2810; blocks.10.ln2_post.hook_normalized:8.5981; blocks.0.ln1_post.hook_normalized:7.1632; blocks.5.ln2_post.hook_normalized:3.0267; blocks.6.ln2_post.hook_normalized:0.0000; blocks.4.ln2_post.hook_normalized:0.0000; blocks.7.ln2_post.hook_normalized:0.0000; blocks.15.ln1_post.hook_normalized:0.0000; blocks.18.ln2_post.hook_normalized:0.0000; blocks.8.ln2_post.hook_normalized:0.0000; blocks.20.ln1_post.hook_normalized:0.0000; blocks.1.ln2_post.hook_normalized:0.0000; blocks.15.ln2_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.1.ln1_post.hook_normalized:0.0000; blocks.16.ln2_post.hook_normalized:0.0000; blocks.20.ln2_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.10.ln1_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.3.ln2_post.hook_normalized:0.0000; blocks.5.ln1_post.hook_normalized:0.0000; blocks.17.ln2_post.hook_normalized:0.0000; blocks.4.ln1_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.2.ln2_post.hook_normalized:0.0000; blocks.16.ln1_post.hook_normalized:0.0000; blocks.8.ln1_post.hook_normalized:0.0000; blocks.7.ln1_post.hook_normalized:0.0000; blocks.9.ln1_post.hook_normalized:0.0000; blocks.19.ln2_post.hook_normalized:0.0000; blocks.3.ln1_post.hook_normalized:0.0000; blocks.18.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.2.ln1_post.hook_normalized:0.0000; blocks.0.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.19.ln1_post.hook_normalized:0.0000; blocks.17.ln1_post.hook_normalized:0.0000
gemma2,1161,all,diff,pos-vs-neg,,,blocks.20.hook_resid_post:31.4644; blocks.7.ln2_post.hook_normalized:0.7961; blocks.11.ln2_post.hook_normalized:0.7617; blocks.0.ln1_post.hook_normalized:0.6745; blocks.0.hook_resid_post:0.6157; blocks.9.ln2_post.hook_normalized:0.5001; blocks.8.ln2_post.hook_normalized:0.4968; blocks.5.ln2_post.hook_normalized:0.4299; blocks.18.ln2_post.hook_normalized:0.3667; blocks.12.ln2_post.hook_normalized:0.3573; blocks.4.ln1_post.hook_normalized:0.3295; blocks.10.ln2_post.hook_normalized:0.3277; blocks.6.ln1_post.hook_normalized:0.3255; blocks.4.ln2_post.hook_normalized:0.3155; blocks.19.ln2_post.hook_normalized:0.3079; blocks.2.ln2_post.hook_normalized:0.3026; blocks.14.ln2_post.hook_normalized:0.2840; blocks.6.ln2_post.hook_normalized:0.2514; blocks.9.ln1_post.hook_normalized:-0.2505; blocks.15.ln2_post.hook_normalized:0.2457; blocks.8.ln1_post.hook_normalized:-0.2364; blocks.5.ln1_post.hook_normalized:0.2326; blocks.17.ln2_post.hook_normalized:0.2311; blocks.16.ln2_post.hook_normalized:0.2102; blocks.1.ln1_post.hook_normalized:0.2099; blocks.0.ln2_post.hook_normalized:0.1921; blocks.16.ln1_post.hook_normalized:0.1795; blocks.3.ln2_post.hook_normalized:-0.1686; blocks.20.ln1_post.hook_normalized:0.1543; blocks.19.ln1_post.hook_normalized:-0.1218; blocks.18.ln1_post.hook_normalized:-0.1206; blocks.1.ln2_post.hook_normalized:0.0971; blocks.15.ln1_post.hook_normalized:0.0912; blocks.11.ln1_post.hook_normalized:-0.0898; blocks.3.ln1_post.hook_normalized:-0.0695; blocks.10.ln1_post.hook_normalized:-0.0589; blocks.12.ln1_post.hook_normalized:0.0436; blocks.13.ln1_post.hook_normalized:0.0418; blocks.7.ln1_post.hook_normalized:-0.0404; blocks.17.ln1_post.hook_normalized:0.0387; blocks.2.ln1_post.hook_normalized:-0.0359; blocks.13.ln2_post.hook_normalized:0.0329; blocks.14.ln1_post.hook_normalized:-0.0314; blocks.20.ln2_post.hook_normalized:0.0036
gemma2,1161,all,Component Similarities,All,,,blocks.20.hook_resid_post:0.1777; blocks.11.ln2_post.hook_normalized:0.1138; blocks.7.ln2_post.hook_normalized:0.1089; blocks.9.ln2_post.hook_normalized:0.0801; blocks.6.ln1_post.hook_normalized:0.0767; blocks.18.ln2_post.hook_normalized:0.0752; blocks.8.ln2_post.hook_normalized:0.0737; blocks.0.ln1_post.hook_normalized:0.0728; blocks.5.ln2_post.hook_normalized:0.0664; blocks.2.ln2_post.hook_normalized:0.0603; blocks.19.ln2_post.hook_normalized:0.0591; blocks.12.ln2_post.hook_normalized:0.0586; blocks.20.ln1_post.hook_normalized:0.0522; blocks.10.ln2_post.hook_normalized:0.0515; blocks.4.ln2_post.hook_normalized:0.0503; blocks.14.ln2_post.hook_normalized:0.0498; blocks.16.ln2_post.hook_normalized:0.0493; blocks.15.ln2_post.hook_normalized:0.0486; blocks.17.ln2_post.hook_normalized:0.0466; blocks.4.ln1_post.hook_normalized:0.0449; blocks.8.ln1_post.hook_normalized:-0.0435; blocks.6.ln2_post.hook_normalized:0.0410; blocks.0.ln2_post.hook_normalized:0.0386; blocks.0.hook_resid_post:0.0349; blocks.19.ln1_post.hook_normalized:-0.0327; blocks.3.ln2_post.hook_normalized:-0.0317; blocks.18.ln1_post.hook_normalized:-0.0304; blocks.16.ln1_post.hook_normalized:0.0302; blocks.1.ln2_post.hook_normalized:0.0266; blocks.9.ln1_post.hook_normalized:-0.0236; blocks.1.ln1_post.hook_normalized:0.0201; blocks.3.ln1_post.hook_normalized:-0.0188; blocks.5.ln1_post.hook_normalized:0.0186; blocks.15.ln1_post.hook_normalized:0.0173; blocks.20.ln2_post.hook_normalized:0.0121; blocks.11.ln1_post.hook_normalized:-0.0121; blocks.17.ln1_post.hook_normalized:0.0099; blocks.10.ln1_post.hook_normalized:-0.0087; blocks.2.ln1_post.hook_normalized:-0.0083; blocks.14.ln1_post.hook_normalized:-0.0083; blocks.13.ln1_post.hook_normalized:0.0075; blocks.12.ln1_post.hook_normalized:0.0061; blocks.7.ln1_post.hook_normalized:-0.0038; blocks.13.ln2_post.hook_normalized:0.0034
gemma2,1200,all,lars,negative,0.9102728783825231,,blocks.0.hook_resid_post:5.9064; blocks.17.ln1_post.hook_normalized:8.5732; blocks.11.ln2_post.hook_normalized:12.3241; blocks.9.ln2_post.hook_normalized:6.4553; blocks.0.ln1_post.hook_normalized:8.2741; blocks.20.ln2_post.hook_normalized:4.9178; blocks.18.ln2_post.hook_normalized:2.5810; blocks.6.ln1_post.hook_normalized:0.0000; blocks.10.ln1_post.hook_normalized:0.0000; blocks.7.ln2_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.15.ln1_post.hook_normalized:0.0000; blocks.6.ln2_post.hook_normalized:0.0000; blocks.7.ln1_post.hook_normalized:0.0000; blocks.19.ln2_post.hook_normalized:0.0000; blocks.5.ln1_post.hook_normalized:0.0000; blocks.3.ln2_post.hook_normalized:0.0000; blocks.17.ln2_post.hook_normalized:0.0000; blocks.5.ln2_post.hook_normalized:0.0000; blocks.4.ln1_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000; blocks.1.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.15.ln2_post.hook_normalized:0.0000; blocks.0.ln2_post.hook_normalized:0.0000; blocks.2.ln1_post.hook_normalized:0.0000; blocks.16.ln2_post.hook_normalized:0.0000; blocks.9.ln1_post.hook_normalized:0.0000; blocks.16.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.8.ln1_post.hook_normalized:0.0000; blocks.4.ln2_post.hook_normalized:0.0000; blocks.19.ln1_post.hook_normalized:0.0000; blocks.1.ln2_post.hook_normalized:0.0000; blocks.8.ln2_post.hook_normalized:0.0000; blocks.20.ln1_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.3.ln1_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.2.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.18.ln1_post.hook_normalized:0.0000
gemma2,1200,all,lars,positive,0.1463157493721392,,blocks.0.hook_resid_post:2.2020; blocks.3.ln2_post.hook_normalized:-73.4110; blocks.20.ln2_post.hook_normalized:40.4244; blocks.17.ln1_post.hook_normalized:53.2664; blocks.9.ln2_post.hook_normalized:19.8442; blocks.6.ln1_post.hook_normalized:6.5912; blocks.1.ln1_post.hook_normalized:0.8197; blocks.18.ln1_post.hook_normalized:0.0000; blocks.2.ln1_post.hook_normalized:0.0000; blocks.2.ln2_post.hook_normalized:0.0000; blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.17.ln2_post.hook_normalized:0.0000; blocks.4.ln2_post.hook_normalized:0.0000; blocks.1.ln2_post.hook_normalized:0.0000; blocks.7.ln2_post.hook_normalized:0.0000; blocks.8.ln2_post.hook_normalized:0.0000; blocks.5.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.7.ln1_post.hook_normalized:0.0000; blocks.16.ln2_post.hook_normalized:0.0000; blocks.18.ln2_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.15.ln2_post.hook_normalized:0.0000; blocks.20.ln1_post.hook_normalized:0.0000; blocks.19.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.0.ln2_post.hook_normalized:0.0000; blocks.8.ln1_post.hook_normalized:0.0000; blocks.16.ln1_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.19.ln2_post.hook_normalized:0.0000; blocks.10.ln1_post.hook_normalized:0.0000; blocks.5.ln1_post.hook_normalized:0.0000; blocks.4.ln1_post.hook_normalized:0.0000; blocks.6.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000; blocks.15.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.9.ln1_post.hook_normalized:0.0000; blocks.3.ln1_post.hook_normalized:0.0000
