feature,coef
blocks.19.ln2_post.hook_normalized,5.279861745924946
blocks.20.ln2_post.hook_normalized,4.847294214077369
blocks.19.ln1_post.hook_normalized,4.6885734344470595
blocks.13.ln1_post.hook_normalized,4.511631400048812
blocks.18.ln2_post.hook_normalized,3.6792981867718533
blocks.15.ln1_post.hook_normalized,3.451946041674194
blocks.5.ln2_post.hook_normalized,3.171722628548906
blocks.3.ln1_post.hook_normalized,2.7068905364162013
blocks.15.ln2_post.hook_normalized,2.550840285795655
blocks.1.ln1_post.hook_normalized,2.1742500653941574
