model,steering_vector,position,method,set,r2,intercept,top_features
gemma,harmfull,-1,lars,negative,0.47225749331259614,,blocks.0.hook_resid_pre:0.0000; blocks.8.hook_mlp_out:0.0055; blocks.8.hook_attn_out:0.0000; blocks.7.hook_mlp_out:0.0000; blocks.7.hook_attn_out:0.0000; blocks.6.hook_mlp_out:0.0000; blocks.6.hook_attn_out:0.0000; blocks.5.hook_mlp_out:0.0000; blocks.5.hook_attn_out:0.0000; blocks.9.hook_attn_out:0.0000
gemma2,1161,-3,lars,negative,0.6173182652657063,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,1161,-3,lars,positive,0.7633611560304612,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,1161,-1,diff,pos-vs-neg,,,blocks.20.hook_resid_post:-2.1719; blocks.0.hook_resid_post:1.1749; blocks.13.ln2_post.hook_normalized:-0.7548; blocks.20.ln2_post.hook_normalized:-0.7209; blocks.16.ln1_post.hook_normalized:0.6832; blocks.11.ln1_post.hook_normalized:0.5318; blocks.0.ln2_post.hook_normalized:-0.5162; blocks.14.ln2_post.hook_normalized:-0.4744; blocks.7.ln1_post.hook_normalized:0.4209; blocks.1.ln1_post.hook_normalized:0.3904
gemma2,1161,-2,diff,pos-vs-neg,,,blocks.20.hook_resid_post:9.5965; blocks.11.ln2_post.hook_normalized:0.6195; blocks.4.ln1_post.hook_normalized:0.5760; blocks.9.ln1_post.hook_normalized:-0.5688; blocks.0.hook_resid_post:-0.4907; blocks.1.ln1_post.hook_normalized:-0.4246; blocks.6.ln2_post.hook_normalized:0.4245; blocks.6.ln1_post.hook_normalized:0.4135; blocks.7.ln2_post.hook_normalized:0.4074; blocks.8.ln2_post.hook_normalized:0.4053
gemma2,1161,-3,diff,pos-vs-neg,,,blocks.20.hook_resid_post:14.0321; blocks.0.ln1_post.hook_normalized:1.2027; blocks.0.hook_resid_post:-1.1560; blocks.20.ln2_post.hook_normalized:0.7055; blocks.8.ln2_post.hook_normalized:0.7033; blocks.7.ln2_post.hook_normalized:0.5684; blocks.17.ln2_post.hook_normalized:0.5622; blocks.0.ln2_post.hook_normalized:0.5412; blocks.11.ln2_post.hook_normalized:0.5175; blocks.9.ln1_post.hook_normalized:-0.5021
gemma2,1200,-1,lars,negative,0.5578945925017076,,blocks.0.ln1_post.hook_normalized:2.5289; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.7105; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,1200,-1,lars,positive,0.6696032737440403,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,1200,-2,lars,negative,0.616259622339115,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,1200,-2,lars,positive,0.18241455675854368,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,1200,-3,lars,negative,0.6156051435277912,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
