model,steering_vector,position,method,set,r2,intercept,top_features
gemma2,1161,-1,lars,negative,0.6498675114444998,,blocks.0.ln1_post.hook_normalized:5.5676; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,1161,-1,lars,positive,0.4356607650387775,,blocks.0.ln1_post.hook_normalized:3.6544; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:1.2737; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,1161,-2,lars,negative,0.723251631828178,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.2874; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,1161,-2,lars,positive,0.2971807318981914,,blocks.0.ln1_post.hook_normalized:1.7671; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,1161,-3,lars,negative,0.6189552406893335,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.2515; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,1161,-3,lars,positive,0.7624023147376178,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.1515; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,1161,-1,diff,pos-vs-neg,,,blocks.20.hook_resid_post:-2.1790; blocks.0.hook_resid_post:1.1742; blocks.13.ln2_post.hook_normalized:-0.7548; blocks.20.ln2_post.hook_normalized:-0.7219; blocks.16.ln1_post.hook_normalized:0.6833; blocks.11.ln1_post.hook_normalized:0.5316; blocks.0.ln2_post.hook_normalized:-0.5162; blocks.14.ln2_post.hook_normalized:-0.4745; blocks.7.ln1_post.hook_normalized:0.4208; blocks.1.ln1_post.hook_normalized:0.3901
gemma2,1161,-2,diff,pos-vs-neg,,,blocks.20.hook_resid_post:9.5916; blocks.11.ln2_post.hook_normalized:0.6194; blocks.4.ln1_post.hook_normalized:0.5760; blocks.9.ln1_post.hook_normalized:-0.5695; blocks.0.hook_resid_post:-0.4902; blocks.1.ln1_post.hook_normalized:-0.4248; blocks.6.ln2_post.hook_normalized:0.4241; blocks.6.ln1_post.hook_normalized:0.4137; blocks.7.ln2_post.hook_normalized:0.4070; blocks.8.ln2_post.hook_normalized:0.4050
gemma2,1161,-3,diff,pos-vs-neg,,,blocks.20.hook_resid_post:14.0302; blocks.0.ln1_post.hook_normalized:1.2028; blocks.0.hook_resid_post:-1.1560; blocks.20.ln2_post.hook_normalized:0.7052; blocks.8.ln2_post.hook_normalized:0.7029; blocks.7.ln2_post.hook_normalized:0.5686; blocks.17.ln2_post.hook_normalized:0.5619; blocks.0.ln2_post.hook_normalized:0.5413; blocks.11.ln2_post.hook_normalized:0.5171; blocks.9.ln1_post.hook_normalized:-0.5025
gemma2,1161,-1,Component Similarities,All,,,blocks.20.ln2_post.hook_normalized:-0.0771; blocks.16.ln1_post.hook_normalized:0.0649; blocks.0.hook_resid_post:0.0581; blocks.13.ln2_post.hook_normalized:-0.0571; blocks.17.ln1_post.hook_normalized:-0.0464; blocks.4.ln2_post.hook_normalized:-0.0400; blocks.6.ln1_post.hook_normalized:0.0383; blocks.4.ln1_post.hook_normalized:0.0378; blocks.0.ln2_post.hook_normalized:-0.0364; blocks.8.ln1_post.hook_normalized:-0.0364
