feature,coef
blocks.13.ln1_post.hook_normalized,5.062512969403652
blocks.17.ln1_post.hook_normalized,4.845595417295169
blocks.19.ln1_post.hook_normalized,4.057484717665318
blocks.20.ln2_post.hook_normalized,3.6772537193138115
blocks.19.ln2_post.hook_normalized,3.121348130521946
blocks.18.ln2_post.hook_normalized,2.747283888738589
blocks.8.ln1_post.hook_normalized,2.585123651341168
blocks.17.ln2_post.hook_normalized,2.114673075346657
blocks.16.ln2_post.hook_normalized,1.9596916901850412
blocks.13.ln2_post.hook_normalized,1.9053708173403794
