feature,coef
blocks.20.ln2_post.hook_normalized,5.632932230352208
blocks.19.ln2_post.hook_normalized,5.487073524082702
blocks.20.ln1_post.hook_normalized,5.009528475206039
blocks.15.ln1_post.hook_normalized,4.102111001672955
blocks.17.ln2_post.hook_normalized,3.780155535730257
blocks.18.ln2_post.hook_normalized,3.636444909312255
blocks.15.ln2_post.hook_normalized,2.951476831310885
blocks.11.ln2_post.hook_normalized,2.6564311305548807
blocks.5.ln1_post.hook_normalized,2.4619644137648136
blocks.14.ln2_post.hook_normalized,2.3961643003155615
