feature,coef
blocks.20.ln2_post.hook_normalized,6.339635086753091
blocks.19.ln1_post.hook_normalized,4.152015135678001
blocks.15.ln2_post.hook_normalized,4.071500448100527
blocks.17.ln2_post.hook_normalized,3.6736350937061433
blocks.19.ln2_post.hook_normalized,3.447159471766836
blocks.11.ln2_post.hook_normalized,3.255744178148574
blocks.14.ln1_post.hook_normalized,3.0287325600212363
blocks.16.ln1_post.hook_normalized,2.999459033101314
blocks.18.ln2_post.hook_normalized,2.437153216677872
blocks.6.ln1_post.hook_normalized,2.4019678940000166
