feature,coef
blocks.20.ln2_post.hook_normalized,5.203345404321322
blocks.10.ln1_post.hook_normalized,4.16127025353669
blocks.15.ln1_post.hook_normalized,3.1749510153289653
blocks.17.ln1_post.hook_normalized,3.114556705290923
blocks.18.ln2_post.hook_normalized,3.0082164919136103
blocks.16.ln2_post.hook_normalized,2.205243116848344
blocks.19.ln1_post.hook_normalized,1.9719286716701032
blocks.13.ln2_post.hook_normalized,1.8445093165217052
blocks.19.ln2_post.hook_normalized,1.7853557004266576
blocks.6.ln2_post.hook_normalized,1.7421991291592362
