,-1,-2,-3
blocks.0.ln1_post.hook_normalized,tensor(-0.1803),tensor(0.0459),tensor(1.2027)
blocks.0.ln2_post.hook_normalized,tensor(-0.5162),tensor(0.1233),tensor(0.5412)
blocks.0.hook_resid_post,tensor(1.1749),tensor(-0.4907),tensor(-1.1560)
blocks.1.ln1_post.hook_normalized,tensor(0.3904),tensor(-0.4246),tensor(0.1387)
blocks.1.ln2_post.hook_normalized,tensor(-0.3104),tensor(0.1319),tensor(0.1285)
blocks.2.ln1_post.hook_normalized,tensor(0.0514),tensor(-0.0778),tensor(-0.1208)
blocks.2.ln2_post.hook_normalized,tensor(0.0229),tensor(0.3080),tensor(0.3238)
blocks.3.ln1_post.hook_normalized,tensor(0.2319),tensor(0.0150),tensor(0.0353)
blocks.3.ln2_post.hook_normalized,tensor(-0.0999),tensor(-0.3093),tensor(0.2175)
blocks.4.ln1_post.hook_normalized,tensor(0.3739),tensor(0.5760),tensor(0.5020)
blocks.4.ln2_post.hook_normalized,tensor(-0.3431),tensor(0.3634),tensor(-0.1503)
blocks.5.ln1_post.hook_normalized,tensor(-0.0595),tensor(0.0259),tensor(0.0561)
blocks.5.ln2_post.hook_normalized,tensor(0.3012),tensor(0.2273),tensor(0.3141)
blocks.6.ln1_post.hook_normalized,tensor(0.2188),tensor(0.4135),tensor(0.4643)
blocks.6.ln2_post.hook_normalized,tensor(-0.2787),tensor(0.4245),tensor(0.2781)
blocks.7.ln1_post.hook_normalized,tensor(0.4209),tensor(0.0171),tensor(-0.1020)
blocks.7.ln2_post.hook_normalized,tensor(0.0946),tensor(0.4074),tensor(0.5684)
blocks.8.ln1_post.hook_normalized,tensor(-0.2756),tensor(-0.2473),tensor(-0.3398)
blocks.8.ln2_post.hook_normalized,tensor(0.3298),tensor(0.4053),tensor(0.7033)
blocks.9.ln1_post.hook_normalized,tensor(-0.2031),tensor(-0.5688),tensor(-0.5021)
blocks.9.ln2_post.hook_normalized,tensor(-0.3668),tensor(0.0117),tensor(0.2177)
blocks.10.ln1_post.hook_normalized,tensor(-0.2194),tensor(-0.3274),tensor(-0.3088)
blocks.10.ln2_post.hook_normalized,tensor(-0.3157),tensor(0.0193),tensor(0.1178)
blocks.11.ln1_post.hook_normalized,tensor(0.5318),tensor(-0.0739),tensor(-0.0410)
blocks.11.ln2_post.hook_normalized,tensor(-0.2270),tensor(0.6195),tensor(0.5175)
blocks.12.ln1_post.hook_normalized,tensor(0.3122),tensor(0.0820),tensor(-0.0649)
blocks.12.ln2_post.hook_normalized,tensor(-0.0309),tensor(0.2583),tensor(-0.1270)
blocks.13.ln1_post.hook_normalized,tensor(0.2735),tensor(0.0089),tensor(-0.0690)
blocks.13.ln2_post.hook_normalized,tensor(-0.7548),tensor(-0.2234),tensor(-0.3736)
blocks.14.ln1_post.hook_normalized,tensor(-0.0198),tensor(-0.1545),tensor(-0.0717)
blocks.14.ln2_post.hook_normalized,tensor(-0.4744),tensor(0.2776),tensor(0.0873)
blocks.15.ln1_post.hook_normalized,tensor(-0.2112),tensor(-0.2012),tensor(-0.1187)
blocks.15.ln2_post.hook_normalized,tensor(-0.1438),tensor(0.2018),tensor(0.2678)
blocks.16.ln1_post.hook_normalized,tensor(0.6832),tensor(0.2792),tensor(0.1742)
blocks.16.ln2_post.hook_normalized,tensor(-0.2825),tensor(-0.0295),tensor(0.1135)
blocks.17.ln1_post.hook_normalized,tensor(-0.3633),tensor(0.0842),tensor(0.1910)
blocks.17.ln2_post.hook_normalized,tensor(-0.0166),tensor(0.2891),tensor(0.5622)
blocks.18.ln1_post.hook_normalized,tensor(0.0876),tensor(-0.2988),tensor(-0.1241)
blocks.18.ln2_post.hook_normalized,tensor(-0.1138),tensor(0.1266),tensor(0.4353)
blocks.19.ln1_post.hook_normalized,tensor(-0.1397),tensor(-0.3133),tensor(-0.1395)
blocks.19.ln2_post.hook_normalized,tensor(0.3341),tensor(0.2929),tensor(0.4199)
blocks.20.ln1_post.hook_normalized,tensor(-0.0769),tensor(0.0135),tensor(0.2022)
blocks.20.ln2_post.hook_normalized,tensor(-0.7209),tensor(0.3023),tensor(0.7055)
blocks.20.hook_resid_post,tensor(-2.1719),tensor(9.5965),tensor(14.0321)
