,-1,-2,-3
blocks.0.ln1_post.hook_normalized,tensor(0.0984),tensor(0.3283),tensor(1.1203)
blocks.0.ln2_post.hook_normalized,tensor(-0.3010),tensor(0.1344),tensor(0.3769)
blocks.0.hook_resid_post,tensor(1.4464),tensor(-1.6429),tensor(-1.4185)
blocks.1.ln1_post.hook_normalized,tensor(0.4115),tensor(-0.1875),tensor(0.0470)
blocks.1.ln2_post.hook_normalized,tensor(-0.2361),tensor(0.1165),tensor(-0.0107)
blocks.2.ln1_post.hook_normalized,tensor(-0.0265),tensor(0.0694),tensor(-0.1094)
blocks.2.ln2_post.hook_normalized,tensor(0.1469),tensor(0.1934),tensor(0.1478)
blocks.3.ln1_post.hook_normalized,tensor(-0.0254),tensor(-0.0622),tensor(-0.1015)
blocks.3.ln2_post.hook_normalized,tensor(-0.3343),tensor(-0.4716),tensor(-0.0790)
blocks.4.ln1_post.hook_normalized,tensor(0.2024),tensor(0.4155),tensor(0.2879)
blocks.4.ln2_post.hook_normalized,tensor(-0.1902),tensor(0.4726),tensor(0.0700)
blocks.5.ln1_post.hook_normalized,tensor(-0.0767),tensor(0.1544),tensor(0.0754)
blocks.5.ln2_post.hook_normalized,tensor(-0.0482),tensor(0.1900),tensor(0.1922)
blocks.6.ln1_post.hook_normalized,tensor(0.1172),tensor(0.2379),tensor(0.2335)
blocks.6.ln2_post.hook_normalized,tensor(0.0819),tensor(0.2582),tensor(0.2540)
blocks.7.ln1_post.hook_normalized,tensor(0.1808),tensor(-0.1389),tensor(-0.2157)
blocks.7.ln2_post.hook_normalized,tensor(0.3453),tensor(0.5698),tensor(0.2826)
blocks.8.ln1_post.hook_normalized,tensor(-0.3866),tensor(-0.4516),tensor(-0.4917)
blocks.8.ln2_post.hook_normalized,tensor(0.1891),tensor(0.4033),tensor(0.6132)
blocks.9.ln1_post.hook_normalized,tensor(-0.7397),tensor(-0.7355),tensor(-0.6968)
blocks.9.ln2_post.hook_normalized,tensor(-0.1460),tensor(0.0095),tensor(0.1821)
blocks.10.ln1_post.hook_normalized,tensor(-0.3424),tensor(-0.3881),tensor(-0.4321)
blocks.10.ln2_post.hook_normalized,tensor(-0.3154),tensor(-0.3641),tensor(-0.3129)
blocks.11.ln1_post.hook_normalized,tensor(0.2873),tensor(-0.0490),tensor(-0.0347)
blocks.11.ln2_post.hook_normalized,tensor(0.1443),tensor(0.5450),tensor(0.6868)
blocks.12.ln1_post.hook_normalized,tensor(0.5923),tensor(0.2618),tensor(0.0969)
blocks.12.ln2_post.hook_normalized,tensor(0.0332),tensor(0.0845),tensor(0.0015)
blocks.13.ln1_post.hook_normalized,tensor(-0.2138),tensor(-0.3216),tensor(-0.2093)
blocks.13.ln2_post.hook_normalized,tensor(-0.6558),tensor(-0.3489),tensor(-0.5358)
blocks.14.ln1_post.hook_normalized,tensor(0.0165),tensor(-0.0295),tensor(-0.0057)
blocks.14.ln2_post.hook_normalized,tensor(-0.3888),tensor(-0.0589),tensor(0.0494)
blocks.15.ln1_post.hook_normalized,tensor(-0.1939),tensor(-0.0808),tensor(-0.1256)
blocks.15.ln2_post.hook_normalized,tensor(-0.1831),tensor(0.3444),tensor(0.2582)
blocks.16.ln1_post.hook_normalized,tensor(0.2500),tensor(-0.0195),tensor(-0.0744)
blocks.16.ln2_post.hook_normalized,tensor(0.0828),tensor(0.1891),tensor(0.2245)
blocks.17.ln1_post.hook_normalized,tensor(-0.3962),tensor(0.1998),tensor(0.3576)
blocks.17.ln2_post.hook_normalized,tensor(0.0039),tensor(0.2314),tensor(0.3811)
blocks.18.ln1_post.hook_normalized,tensor(0.0317),tensor(-0.3056),tensor(-0.2236)
blocks.18.ln2_post.hook_normalized,tensor(-0.1381),tensor(0.0795),tensor(0.3750)
blocks.19.ln1_post.hook_normalized,tensor(-0.1619),tensor(-0.3153),tensor(-0.1520)
blocks.19.ln2_post.hook_normalized,tensor(0.3827),tensor(0.1232),tensor(0.3980)
blocks.20.ln1_post.hook_normalized,tensor(-0.0326),tensor(0.0781),tensor(0.1806)
blocks.20.ln2_post.hook_normalized,tensor(-0.4283),tensor(0.2895),tensor(0.5337)
blocks.20.hook_resid_post,tensor(-1.3944),tensor(4.3681),tensor(7.4100)
