,-1,-2,-3
blocks.0.ln1_post.hook_normalized x blocks.0.ln2_post.hook_normalized,-0.15450319223598585,-0.358346884638054,-0.3000796508980019
blocks.0.ln1_post.hook_normalized x blocks.0.hook_resid_post,-0.11392825281368713,0.00018218902354516509,0.22810795611128598
blocks.0.ln1_post.hook_normalized x blocks.1.ln1_post.hook_normalized,0.2325117673364855,-0.01996980838231832,0.056427170740777965
blocks.0.ln1_post.hook_normalized x blocks.1.ln2_post.hook_normalized,-0.16027179369250888,-0.35447292568226985,-0.039020424163477285
blocks.0.ln1_post.hook_normalized x blocks.2.ln1_post.hook_normalized,-0.2176166332580558,-0.46166174091035406,-0.47999965053681737
blocks.0.ln1_post.hook_normalized x blocks.2.ln2_post.hook_normalized,-0.21371142013341982,-0.3452794660891645,-0.19872381661872107
blocks.0.ln1_post.hook_normalized x blocks.3.ln1_post.hook_normalized,0.02393101064743597,-0.47722550382800355,-0.1280830097700847
blocks.0.ln1_post.hook_normalized x blocks.3.ln2_post.hook_normalized,-0.09906108959318893,-0.029163836676545207,-0.17745477612365534
blocks.0.ln1_post.hook_normalized x blocks.4.ln1_post.hook_normalized,0.009593379252432865,-0.35798924727739867,-0.26069347616524907
blocks.0.ln1_post.hook_normalized x blocks.4.ln2_post.hook_normalized,-0.16360602730229146,-0.3353204749546894,-0.24770434179582934
blocks.0.ln1_post.hook_normalized x blocks.5.ln1_post.hook_normalized,-0.05092829572729496,-0.3526618262025183,-0.22272399158967104
blocks.0.ln1_post.hook_normalized x blocks.5.ln2_post.hook_normalized,-0.05020642286099952,-0.3338068141680435,-0.11636304544828802
blocks.0.ln1_post.hook_normalized x blocks.6.ln1_post.hook_normalized,-0.126136315475335,-0.4049443165739324,-0.3314127469576873
blocks.0.ln1_post.hook_normalized x blocks.6.ln2_post.hook_normalized,-0.25548145749906626,-0.3698333240727385,-0.0013190551919124438
blocks.0.ln1_post.hook_normalized x blocks.7.ln1_post.hook_normalized,0.04334084521011683,-0.03393575974957175,-0.15560749949297015
blocks.0.ln1_post.hook_normalized x blocks.7.ln2_post.hook_normalized,0.2229393840566677,-0.1375157382816703,-0.23493952067140889
blocks.0.ln1_post.hook_normalized x blocks.8.ln1_post.hook_normalized,-0.11634295555329466,-0.2858705407056574,-0.15508752079770627
blocks.0.ln1_post.hook_normalized x blocks.8.ln2_post.hook_normalized,-0.13299429643905536,-0.37864266080612397,-0.1215557657477706
blocks.0.ln1_post.hook_normalized x blocks.9.ln1_post.hook_normalized,-0.33491252742246935,-0.23553316520875534,-0.1965815521573051
blocks.0.ln1_post.hook_normalized x blocks.9.ln2_post.hook_normalized,-0.34017036871067674,-0.6010058894641972,-0.09929653735892319
blocks.0.ln1_post.hook_normalized x blocks.10.ln1_post.hook_normalized,-0.08283139920242899,-0.2372520558415161,0.19310543699556293
blocks.0.ln1_post.hook_normalized x blocks.10.ln2_post.hook_normalized,-0.10354972469298973,-0.3573080727062008,-0.08525915538495665
blocks.0.ln1_post.hook_normalized x blocks.11.ln1_post.hook_normalized,-0.17187873778967422,-0.32993125826287506,-0.16467983881769488
blocks.0.ln1_post.hook_normalized x blocks.11.ln2_post.hook_normalized,0.12423260141640968,-0.29278787755571556,-0.41890483470053996
blocks.0.ln1_post.hook_normalized x blocks.12.ln1_post.hook_normalized,-0.09631641245698486,-0.25249399028939123,0.1505409071824768
blocks.0.ln1_post.hook_normalized x blocks.12.ln2_post.hook_normalized,0.008202656604301972,-0.287757388689339,-0.1238349182183911
blocks.0.ln1_post.hook_normalized x blocks.13.ln1_post.hook_normalized,0.06970705367307706,-0.16814878528504318,0.293889405123118
blocks.0.ln1_post.hook_normalized x blocks.13.ln2_post.hook_normalized,0.2265327475104898,-0.15983426417171964,0.08941171317004393
blocks.0.ln1_post.hook_normalized x blocks.14.ln1_post.hook_normalized,-0.11173589501761882,-0.40032790780407956,-0.2612991890791263
blocks.0.ln1_post.hook_normalized x blocks.14.ln2_post.hook_normalized,0.04857585023731181,-0.13713344940813355,0.10806212402878601
blocks.0.ln1_post.hook_normalized x blocks.15.ln1_post.hook_normalized,-0.19276861749521168,0.152806367856251,0.2744953087535139
blocks.0.ln1_post.hook_normalized x blocks.15.ln2_post.hook_normalized,0.3754888740234351,0.15356037408648937,0.003042607769944916
blocks.0.ln1_post.hook_normalized x blocks.16.ln1_post.hook_normalized,-0.012376932655233208,-0.14588095423328218,0.014042773715941426
blocks.0.ln1_post.hook_normalized x blocks.16.ln2_post.hook_normalized,-0.061922482064116435,-0.4513474955678689,0.18319792527568213
blocks.0.ln1_post.hook_normalized x blocks.17.ln1_post.hook_normalized,-0.1879221293742619,0.010380411569222092,0.29124216085989274
blocks.0.ln1_post.hook_normalized x blocks.17.ln2_post.hook_normalized,0.013923380297492183,-0.07508349840568673,0.03747124567277227
blocks.0.ln1_post.hook_normalized x blocks.18.ln1_post.hook_normalized,-0.11351565125115703,-0.232536839481152,0.13570550705916318
blocks.0.ln1_post.hook_normalized x blocks.18.ln2_post.hook_normalized,0.06808011986718965,0.23509621824037696,0.6262946669893386
blocks.0.ln1_post.hook_normalized x blocks.19.ln1_post.hook_normalized,-0.1492075282056149,-0.033038654857377336,0.03979531697463379
blocks.0.ln1_post.hook_normalized x blocks.19.ln2_post.hook_normalized,0.004971899412513636,0.011529776061209418,0.3128529349369863
blocks.0.ln1_post.hook_normalized x blocks.20.ln1_post.hook_normalized,-0.05363555179931523,0.4093683882045631,-0.22786509897493645
blocks.0.ln1_post.hook_normalized x blocks.20.ln2_post.hook_normalized,0.28954304427940747,0.0694722922016594,-0.016362546448811743
blocks.0.ln1_post.hook_normalized x blocks.20.hook_resid_post,1.0,1.0,1.0
blocks.0.ln2_post.hook_normalized x blocks.0.hook_resid_post,-0.04565907558832927,-0.1956623457740887,-0.18761586177758138
blocks.0.ln2_post.hook_normalized x blocks.1.ln1_post.hook_normalized,0.23926353327050875,0.02807354295466069,-0.007241144037130498
blocks.0.ln2_post.hook_normalized x blocks.1.ln2_post.hook_normalized,-9.63050360835993e-06,-0.3869143417956593,-0.4548991302270813
blocks.0.ln2_post.hook_normalized x blocks.2.ln1_post.hook_normalized,-0.0825887222287991,-0.4454465840039137,-0.681316787537424
blocks.0.ln2_post.hook_normalized x blocks.2.ln2_post.hook_normalized,-0.18886650775525649,-0.3259909796687812,-0.3678956832083513
blocks.0.ln2_post.hook_normalized x blocks.3.ln1_post.hook_normalized,0.043431442586297164,-0.4960149196513146,-0.3037861358235643
blocks.0.ln2_post.hook_normalized x blocks.3.ln2_post.hook_normalized,-0.0519724799493555,-0.00040625885318124055,-0.3466475762310859
blocks.0.ln2_post.hook_normalized x blocks.4.ln1_post.hook_normalized,0.04625812807562901,-0.3545463769106887,-0.4074228839032441
blocks.0.ln2_post.hook_normalized x blocks.4.ln2_post.hook_normalized,-0.004426830510843693,-0.343192022061825,-0.430212967318393
blocks.0.ln2_post.hook_normalized x blocks.5.ln1_post.hook_normalized,0.009215632466670898,-0.35997034872327416,-0.3745519899691865
blocks.0.ln2_post.hook_normalized x blocks.5.ln2_post.hook_normalized,-0.09349361733989281,-0.338271000441714,-0.2620010799999515
blocks.0.ln2_post.hook_normalized x blocks.6.ln1_post.hook_normalized,-0.05085563255690162,-0.43248265357422944,-0.5454062007119116
blocks.0.ln2_post.hook_normalized x blocks.6.ln2_post.hook_normalized,-0.21424909212294319,-0.3470251654222387,-0.2655652557966559
blocks.0.ln2_post.hook_normalized x blocks.7.ln1_post.hook_normalized,0.08238232044128602,-0.21439152895780822,-0.48164970365636606
blocks.0.ln2_post.hook_normalized x blocks.7.ln2_post.hook_normalized,0.2969431529464187,-0.15782148916717054,-0.4021980120941657
blocks.0.ln2_post.hook_normalized x blocks.8.ln1_post.hook_normalized,-0.04056599355058199,-0.21060577608700992,-0.23522188815660328
blocks.0.ln2_post.hook_normalized x blocks.8.ln2_post.hook_normalized,-0.13034560218057445,-0.3547228421922253,-0.477622150272611
blocks.0.ln2_post.hook_normalized x blocks.9.ln1_post.hook_normalized,-0.18600602806490718,-0.304211543120547,-0.3976708085281444
blocks.0.ln2_post.hook_normalized x blocks.9.ln2_post.hook_normalized,-0.13645138658511047,-0.4991528515672097,-0.1743355159879696
blocks.0.ln2_post.hook_normalized x blocks.10.ln1_post.hook_normalized,-0.05981247157832792,-0.23197207041364942,-0.0035480717697611297
blocks.0.ln2_post.hook_normalized x blocks.10.ln2_post.hook_normalized,0.11827639810677659,-0.3770082491553908,-0.17778805077901416
blocks.0.ln2_post.hook_normalized x blocks.11.ln1_post.hook_normalized,-0.0843114236232485,-0.36961133211485864,-0.47737296236275073
blocks.0.ln2_post.hook_normalized x blocks.11.ln2_post.hook_normalized,0.1572339182649244,-0.2319745058866325,-0.593578536218385
blocks.0.ln2_post.hook_normalized x blocks.12.ln1_post.hook_normalized,-0.05604282517354764,-0.30458217956890365,-0.11200157686903256
blocks.0.ln2_post.hook_normalized x blocks.12.ln2_post.hook_normalized,0.17974928779222055,-0.2997427603826859,-0.3472580154892535
blocks.0.ln2_post.hook_normalized x blocks.13.ln1_post.hook_normalized,0.09845464261055104,-0.21400575713462078,0.06245205948716859
blocks.0.ln2_post.hook_normalized x blocks.13.ln2_post.hook_normalized,0.34593364956591954,-0.2411711363988549,-0.0920306593102207
blocks.0.ln2_post.hook_normalized x blocks.14.ln1_post.hook_normalized,-0.052172112854596664,-0.39877112563687267,-0.4454000510495466
blocks.0.ln2_post.hook_normalized x blocks.14.ln2_post.hook_normalized,0.15901879614126746,-0.13603852317816423,0.1466007426617807
blocks.0.ln2_post.hook_normalized x blocks.15.ln1_post.hook_normalized,-0.07563554127047345,0.12116130763486532,0.13392664854406078
blocks.0.ln2_post.hook_normalized x blocks.15.ln2_post.hook_normalized,0.32858213667292535,0.2321072679208913,-0.09343522487720768
blocks.0.ln2_post.hook_normalized x blocks.16.ln1_post.hook_normalized,0.046293640685317605,-0.2658043261517533,-0.24741558203860414
blocks.0.ln2_post.hook_normalized x blocks.16.ln2_post.hook_normalized,0.03194429684487643,-0.40720665187482985,0.083473747474608
blocks.0.ln2_post.hook_normalized x blocks.17.ln1_post.hook_normalized,-0.1392050938758116,0.12830577565005774,0.12414409679277061
blocks.0.ln2_post.hook_normalized x blocks.17.ln2_post.hook_normalized,0.09806480589079147,-0.021552584308556,-0.21205259550884192
blocks.0.ln2_post.hook_normalized x blocks.18.ln1_post.hook_normalized,-0.04209875589104772,-0.31040368760651793,-0.034593480217196104
blocks.0.ln2_post.hook_normalized x blocks.18.ln2_post.hook_normalized,0.06886818457528499,0.1856945727654724,0.5301095784284506
blocks.0.ln2_post.hook_normalized x blocks.19.ln1_post.hook_normalized,-0.07956103496344613,-0.038615716186755966,-0.12704150145498083
blocks.0.ln2_post.hook_normalized x blocks.19.ln2_post.hook_normalized,-0.07394912839137247,0.02526704876063446,0.1147879156082301
blocks.0.ln2_post.hook_normalized x blocks.20.ln1_post.hook_normalized,-0.018902775114200576,0.3209247234693453,-0.5288251295196029
blocks.0.ln2_post.hook_normalized x blocks.20.ln2_post.hook_normalized,0.41585416976812817,0.025752905889469657,-0.021472971076653913
blocks.0.ln2_post.hook_normalized x blocks.20.hook_resid_post,1.0,1.0,1.0
blocks.0.hook_resid_post x blocks.1.ln1_post.hook_normalized,0.2850682902389283,0.22507923190370427,0.12492356772193425
blocks.0.hook_resid_post x blocks.1.ln2_post.hook_normalized,-0.01603085581520647,-0.1996148827373414,-0.4828200269171772
blocks.0.hook_resid_post x blocks.2.ln1_post.hook_normalized,-0.08390184051213523,-0.22225076820615186,-0.5329915809426415
blocks.0.hook_resid_post x blocks.2.ln2_post.hook_normalized,-0.19995102664294873,-0.13754370386106762,-0.14101985724542843
blocks.0.hook_resid_post x blocks.3.ln1_post.hook_normalized,0.04166514380928932,-0.30780667917606097,-0.0836391636646161
blocks.0.hook_resid_post x blocks.3.ln2_post.hook_normalized,-0.06181533431411057,0.19209851443628956,-0.16335132698500443
blocks.0.hook_resid_post x blocks.4.ln1_post.hook_normalized,0.03854385171511865,-0.13174882578215286,-0.19694296586690374
blocks.0.hook_resid_post x blocks.4.ln2_post.hook_normalized,0.008251234901226812,-0.10613950301155262,-0.24430939552442177
blocks.0.hook_resid_post x blocks.5.ln1_post.hook_normalized,0.007914832267180594,-0.12517038986504403,-0.1755941133380392
blocks.0.hook_resid_post x blocks.5.ln2_post.hook_normalized,-0.03996734514295275,-0.0676155631287827,-0.10932440554963119
blocks.0.hook_resid_post x blocks.6.ln1_post.hook_normalized,-0.05276500305848253,-0.2131157604046947,-0.2979726317507665
blocks.0.hook_resid_post x blocks.6.ln2_post.hook_normalized,-0.21799739034750276,-0.11236165688172761,-0.06201528577952553
blocks.0.hook_resid_post x blocks.7.ln1_post.hook_normalized,0.09083252842523581,-0.087010724734508,-0.3330155232371692
blocks.0.hook_resid_post x blocks.7.ln2_post.hook_normalized,0.2866928982717234,0.13766326814943886,-0.2816456325471439
blocks.0.hook_resid_post x blocks.8.ln1_post.hook_normalized,-0.053904560951475666,0.13248713611358753,-0.07370429539596368
blocks.0.hook_resid_post x blocks.8.ln2_post.hook_normalized,-0.1184573758608869,-0.11547129934906608,-0.3379905162637462
blocks.0.hook_resid_post x blocks.9.ln1_post.hook_normalized,-0.17579190806423206,-0.14189446637885816,-0.21142650436262356
blocks.0.hook_resid_post x blocks.9.ln2_post.hook_normalized,-0.1251261089300899,-0.26524384466813067,0.03248354565212508
blocks.0.hook_resid_post x blocks.10.ln1_post.hook_normalized,-0.06108927754284044,-0.14268801979027956,-0.012404805457315371
blocks.0.hook_resid_post x blocks.10.ln2_post.hook_normalized,0.07624834737837749,-0.14984460278195466,0.008226556911941185
