,-1,-2,-3
blocks.0.ln1_post.hook_normalized,tensor(0.0517),tensor(0.6180),tensor(1.1966)
blocks.0.ln2_post.hook_normalized,tensor(-0.6408),tensor(0.1478),tensor(0.2299)
blocks.0.hook_resid_post,tensor(0.9690),tensor(-1.3115),tensor(-0.2430)
blocks.1.ln1_post.hook_normalized,tensor(0.1064),tensor(-0.2567),tensor(0.1157)
blocks.1.ln2_post.hook_normalized,tensor(-0.2470),tensor(0.4023),tensor(-0.0541)
blocks.2.ln1_post.hook_normalized,tensor(0.0782),tensor(0.0410),tensor(-0.0495)
blocks.2.ln2_post.hook_normalized,tensor(0.2213),tensor(0.2040),tensor(0.1790)
blocks.3.ln1_post.hook_normalized,tensor(0.0717),tensor(-0.1969),tensor(0.2300)
blocks.3.ln2_post.hook_normalized,tensor(-0.1078),tensor(-0.5030),tensor(0.1963)
blocks.4.ln1_post.hook_normalized,tensor(0.2695),tensor(0.3856),tensor(0.3887)
blocks.4.ln2_post.hook_normalized,tensor(-0.1729),tensor(0.3919),tensor(-0.0456)
blocks.5.ln1_post.hook_normalized,tensor(0.1421),tensor(0.1066),tensor(0.0170)
blocks.5.ln2_post.hook_normalized,tensor(0.2297),tensor(0.1987),tensor(0.3218)
blocks.6.ln1_post.hook_normalized,tensor(0.2048),tensor(0.3000),tensor(0.3316)
blocks.6.ln2_post.hook_normalized,tensor(-0.0073),tensor(0.3536),tensor(0.3712)
blocks.7.ln1_post.hook_normalized,tensor(0.0810),tensor(-0.2141),tensor(-0.2359)
blocks.7.ln2_post.hook_normalized,tensor(0.0128),tensor(0.0824),tensor(0.3005)
blocks.8.ln1_post.hook_normalized,tensor(-0.1482),tensor(-0.1891),tensor(-0.3112)
blocks.8.ln2_post.hook_normalized,tensor(0.3554),tensor(0.7643),tensor(0.7580)
blocks.9.ln1_post.hook_normalized,tensor(-0.6349),tensor(-0.8101),tensor(-0.6999)
blocks.9.ln2_post.hook_normalized,tensor(0.1157),tensor(0.2307),tensor(0.5816)
blocks.10.ln1_post.hook_normalized,tensor(-0.2811),tensor(-0.4546),tensor(-0.2596)
blocks.10.ln2_post.hook_normalized,tensor(-0.3655),tensor(-0.4580),tensor(-0.1890)
blocks.11.ln1_post.hook_normalized,tensor(0.3421),tensor(-0.1863),tensor(-0.1982)
blocks.11.ln2_post.hook_normalized,tensor(0.1827),tensor(0.8070),tensor(0.6492)
blocks.12.ln1_post.hook_normalized,tensor(0.1945),tensor(0.0246),tensor(-0.0680)
blocks.12.ln2_post.hook_normalized,tensor(0.3043),tensor(0.3596),tensor(0.1092)
blocks.13.ln1_post.hook_normalized,tensor(-0.3565),tensor(-0.4022),tensor(-0.3369)
blocks.13.ln2_post.hook_normalized,tensor(-0.0732),tensor(0.3972),tensor(-0.0345)
blocks.14.ln1_post.hook_normalized,tensor(0.0248),tensor(-0.1286),tensor(0.0030)
blocks.14.ln2_post.hook_normalized,tensor(0.0110),tensor(0.3977),tensor(0.4444)
blocks.15.ln1_post.hook_normalized,tensor(-0.1285),tensor(-0.1978),tensor(0.0021)
blocks.15.ln2_post.hook_normalized,tensor(0.2274),tensor(0.4063),tensor(0.4510)
blocks.16.ln1_post.hook_normalized,tensor(0.1485),tensor(-0.1764),tensor(-0.1899)
blocks.16.ln2_post.hook_normalized,tensor(0.1306),tensor(0.3812),tensor(0.2592)
blocks.17.ln1_post.hook_normalized,tensor(-0.3138),tensor(0.1941),tensor(0.3460)
blocks.17.ln2_post.hook_normalized,tensor(-0.0446),tensor(0.1941),tensor(0.5837)
blocks.18.ln1_post.hook_normalized,tensor(0.1026),tensor(-0.2617),tensor(-0.1092)
blocks.18.ln2_post.hook_normalized,tensor(0.0199),tensor(0.0023),tensor(0.5180)
blocks.19.ln1_post.hook_normalized,tensor(-0.1203),tensor(-0.1677),tensor(0.0346)
blocks.19.ln2_post.hook_normalized,tensor(0.3271),tensor(0.4503),tensor(0.5593)
blocks.20.ln1_post.hook_normalized,tensor(0.0078),tensor(0.0999),tensor(0.1597)
blocks.20.ln2_post.hook_normalized,tensor(-0.4565),tensor(0.4220),tensor(0.6361)
blocks.20.hook_resid_post,tensor(4.0403),tensor(10.7429),tensor(22.4649)
