,-1,-2,-3
blocks.0.ln1_post.hook_normalized,tensor(-0.2444),tensor(0.5688),tensor(1.1922)
blocks.0.ln2_post.hook_normalized,tensor(-0.4852),tensor(0.1673),tensor(0.0396)
blocks.0.hook_resid_post,tensor(0.8786),tensor(-0.6887),tensor(-0.5832)
blocks.1.ln1_post.hook_normalized,tensor(-0.0527),tensor(-0.4166),tensor(-0.0354)
blocks.1.ln2_post.hook_normalized,tensor(-0.2415),tensor(0.2207),tensor(-0.0209)
blocks.2.ln1_post.hook_normalized,tensor(-0.3604),tensor(-0.1854),tensor(-0.1482)
blocks.2.ln2_post.hook_normalized,tensor(0.0923),tensor(-0.0551),tensor(0.2853)
blocks.3.ln1_post.hook_normalized,tensor(0.1308),tensor(-0.1900),tensor(-0.1185)
blocks.3.ln2_post.hook_normalized,tensor(-0.2908),tensor(-0.3984),tensor(0.0035)
blocks.4.ln1_post.hook_normalized,tensor(0.2666),tensor(0.3470),tensor(0.1747)
blocks.4.ln2_post.hook_normalized,tensor(0.0892),tensor(0.4814),tensor(0.0695)
blocks.5.ln1_post.hook_normalized,tensor(-0.1687),tensor(-0.0609),tensor(-0.2387)
blocks.5.ln2_post.hook_normalized,tensor(-0.0335),tensor(0.1030),tensor(-0.0077)
blocks.6.ln1_post.hook_normalized,tensor(0.1211),tensor(0.1921),tensor(0.1598)
blocks.6.ln2_post.hook_normalized,tensor(0.2943),tensor(0.4225),tensor(0.4228)
blocks.7.ln1_post.hook_normalized,tensor(0.1304),tensor(-0.1343),tensor(-0.1804)
blocks.7.ln2_post.hook_normalized,tensor(0.3315),tensor(0.5028),tensor(0.4795)
blocks.8.ln1_post.hook_normalized,tensor(-0.2632),tensor(-0.0856),tensor(-0.1703)
blocks.8.ln2_post.hook_normalized,tensor(0.2981),tensor(0.3592),tensor(0.5868)
blocks.9.ln1_post.hook_normalized,tensor(-0.7229),tensor(-0.6218),tensor(-0.6805)
blocks.9.ln2_post.hook_normalized,tensor(-0.1684),tensor(-0.0377),tensor(0.1071)
blocks.10.ln1_post.hook_normalized,tensor(-0.1832),tensor(-0.2824),tensor(-0.2000)
blocks.10.ln2_post.hook_normalized,tensor(-0.3139),tensor(-0.1705),tensor(-0.0148)
blocks.11.ln1_post.hook_normalized,tensor(0.2732),tensor(-0.1452),tensor(-0.2341)
blocks.11.ln2_post.hook_normalized,tensor(-0.2070),tensor(0.7149),tensor(0.2690)
blocks.12.ln1_post.hook_normalized,tensor(-0.0307),tensor(0.0004),tensor(-0.1307)
blocks.12.ln2_post.hook_normalized,tensor(-0.0735),tensor(0.0157),tensor(-0.0453)
blocks.13.ln1_post.hook_normalized,tensor(-0.2531),tensor(-0.3073),tensor(-0.4201)
blocks.13.ln2_post.hook_normalized,tensor(-0.4216),tensor(-0.1152),tensor(-0.1212)
blocks.14.ln1_post.hook_normalized,tensor(0.1065),tensor(0.1167),tensor(0.0167)
blocks.14.ln2_post.hook_normalized,tensor(-0.4521),tensor(0.1186),tensor(0.1228)
blocks.15.ln1_post.hook_normalized,tensor(-0.0242),tensor(-0.0811),tensor(-0.0474)
blocks.15.ln2_post.hook_normalized,tensor(0.1050),tensor(0.2853),tensor(0.2818)
blocks.16.ln1_post.hook_normalized,tensor(0.2378),tensor(-0.0386),tensor(-0.1961)
blocks.16.ln2_post.hook_normalized,tensor(-0.2348),tensor(0.2190),tensor(0.1478)
blocks.17.ln1_post.hook_normalized,tensor(-0.1230),tensor(0.1864),tensor(0.3289)
blocks.17.ln2_post.hook_normalized,tensor(0.1007),tensor(0.3012),tensor(0.4721)
blocks.18.ln1_post.hook_normalized,tensor(0.2028),tensor(-0.0110),tensor(-0.0425)
blocks.18.ln2_post.hook_normalized,tensor(0.0095),tensor(0.2300),tensor(0.5901)
blocks.19.ln1_post.hook_normalized,tensor(-0.2232),tensor(-0.3002),tensor(-0.0417)
blocks.19.ln2_post.hook_normalized,tensor(0.4388),tensor(0.4594),tensor(0.5779)
blocks.20.ln1_post.hook_normalized,tensor(-0.1073),tensor(0.1453),tensor(0.2129)
blocks.20.ln2_post.hook_normalized,tensor(-0.3768),tensor(0.2038),tensor(0.6882)
blocks.20.hook_resid_post,tensor(-0.2591),tensor(7.9320),tensor(12.2220)
