feature,coef
blocks.19.ln2_post.hook_normalized,4.956100975104786
blocks.20.ln1_post.hook_normalized,4.8163462037400055
blocks.17.ln1_post.hook_normalized,4.623530266235617
blocks.18.ln2_post.hook_normalized,4.285707345822154
blocks.20.ln2_post.hook_normalized,3.190737341224103
blocks.7.ln1_post.hook_normalized,3.1267914473662604
blocks.13.ln1_post.hook_normalized,2.8507258242332285
blocks.10.ln2_post.hook_normalized,2.642245921941694
blocks.17.ln2_post.hook_normalized,2.3342473842896383
blocks.6.ln2_post.hook_normalized,2.3313262722465984
