feature,coef
blocks.20.ln2_post.hook_normalized,5.007767124514844
blocks.15.ln2_post.hook_normalized,3.961444227471968
blocks.18.ln2_post.hook_normalized,3.5237780576109907
blocks.20.ln1_post.hook_normalized,3.440397582265001
blocks.15.ln1_post.hook_normalized,2.785682507980379
blocks.19.ln2_post.hook_normalized,2.6967151954229744
blocks.2.ln2_post.hook_normalized,2.5766843019198693
blocks.17.ln2_post.hook_normalized,2.438550971660528
blocks.4.ln1_post.hook_normalized,2.2225734097842027
blocks.6.ln2_post.hook_normalized,2.0458465460995576
