feature,coef
blocks.20.ln2_post.hook_normalized,5.076988625986422
blocks.18.ln2_post.hook_normalized,3.834513185081305
blocks.19.ln2_post.hook_normalized,3.6369257325010094
blocks.15.ln2_post.hook_normalized,3.4397065902306068
blocks.0.ln1_post.hook_normalized,3.1127894390148323
blocks.5.ln2_post.hook_normalized,3.0053590040164235
blocks.7.ln1_post.hook_normalized,2.9173711707662173
blocks.11.ln1_post.hook_normalized,2.4174711022266466
blocks.17.ln2_post.hook_normalized,2.309761241724667
blocks.10.ln1_post.hook_normalized,2.2846436011030145
