model,steering_vector,position,method,set,r2,intercept,top_features
gemma,harmfull,-1,Component Similarities,All,,,10.residual:0.2172;5.mlp:0.1812;7.mlp:0.1621;6.mlp:0.1071;3.mlp:0.0824;9.mlp:0.0820;7.attention:0.0594;8.attention:0.0574;9.attention:0.0529;8.mlp:0.0521;5.attention:0.0412;1.attention:-0.0335;1.mlp:-0.0333;6.attention:0.0301;2.mlp:0.0224;0.residual:0.0168;3.attention:-0.0152;4.attention:0.0134;0.attention:-0.0129;0.mlp:0.0085;2.attention:-0.0070;4.mlp:0.0062
gemma,harmfull,-2,Component Similarities,All,,,10.residual:0.3221;6.attention:0.2512;8.mlp:0.1587;8.attention:0.1565;7.attention:0.1140;2.mlp:-0.1133;9.attention:0.1033;7.mlp:0.0990;5.attention:0.0925;6.mlp:0.0749;1.attention:-0.0625;9.mlp:0.0568;0.residual:0.0478;4.attention:0.0464;1.mlp:-0.0446;0.attention:0.0336;5.mlp:0.0318;0.mlp:-0.0278;3.mlp:0.0073;3.attention:-0.0054;2.attention:0.0042;4.mlp:-0.0008
gemma,harmfull,-3,Component Similarities,All,,,10.residual:0.4755;8.mlp:0.2369;5.mlp:0.1909;7.mlp:0.1834;9.mlp:0.1649;5.attention:0.1636;7.attention:0.1588;6.attention:0.1216;6.mlp:0.1148;3.mlp:0.0919;8.attention:0.0857;9.attention:0.0784;0.attention:0.0577;0.mlp:0.0575;2.mlp:-0.0345;3.attention:0.0293;2.attention:-0.0268;4.attention:0.0230;4.mlp:-0.0224;1.attention:-0.0198;1.mlp:-0.0114;0.residual:0.0096
