model,steering_vector,position,method,set,r2,intercept,top_features
gemma2,137,-1,lars,negative,0.6166403112925061,,0.attention;18.mlp;20.mlp;10.mlp;19.mlp;8.mlp;19.attention;2.mlp;16.mlp;3.mlp;13.attention;17.mlp;6.attention;6.mlp;7.mlp;20.attention;5.attention;15.attention;13.mlp;3.attention;14.mlp;18.attention;12.attention;10.attention;11.mlp;4.mlp;11.attention;9.mlp;2.attention;16.attention;12.mlp;0.mlp;1.attention;14.attention;15.mlp;7.attention;4.attention;17.attention;0.residual;8.attention;5.mlp;1.mlp;9.attention
gemma2,137,-1,lars,positive,0.5379723242137036,,20.mlp;15.mlp;6.mlp;18.mlp;19.mlp;13.mlp;16.attention;0.attention;5.attention;1.mlp;2.attention;5.mlp;18.attention;11.mlp;9.attention;11.attention;6.attention;10.mlp;14.mlp;12.mlp;19.attention;3.mlp;20.attention;16.mlp;17.attention;2.mlp;17.mlp;8.mlp;0.mlp;7.attention;3.attention;4.attention;1.attention;12.attention;10.attention;8.attention;7.mlp;15.attention;14.attention;9.mlp;0.residual;13.attention;4.mlp
gemma2,137,-2,lars,negative,0.5913113963038271,,20.attention;19.mlp;16.mlp;20.mlp;18.mlp;13.attention;8.mlp;11.mlp;6.mlp;17.mlp;15.mlp;18.attention;7.mlp;9.mlp;15.attention;13.mlp;5.attention;6.attention;0.attention;3.attention;14.mlp;5.mlp;0.mlp;17.attention;4.mlp;10.attention;11.attention;4.attention;1.attention;7.attention;3.mlp;0.residual;10.mlp;8.attention;19.attention;2.mlp;12.attention;2.attention;9.attention;14.attention;16.attention;1.mlp;12.mlp
gemma2,137,-2,lars,positive,0.6103233341109314,,19.mlp;20.mlp;18.mlp;19.attention;3.mlp;14.mlp;6.mlp;13.attention;20.attention;18.attention;0.residual;13.mlp;5.attention;7.mlp;17.attention;10.mlp;1.attention;15.mlp;12.mlp;15.attention;8.mlp;4.attention;0.mlp;9.attention;12.attention;5.mlp;16.mlp;10.attention;17.mlp;1.mlp;3.attention;7.attention;2.mlp;9.mlp;2.attention;4.mlp;6.attention;11.mlp;0.attention;16.attention;11.attention;14.attention;8.attention
gemma2,137,-3,lars,negative,0.6464120278329731,,18.mlp;19.mlp;20.mlp;16.mlp;13.attention;17.mlp;3.attention;18.attention;6.attention;17.attention;14.mlp;20.attention;12.attention;15.mlp;0.residual;10.mlp;7.attention;12.mlp;4.mlp;8.mlp;3.mlp;0.attention;6.mlp;1.mlp;15.attention;19.attention;13.mlp;10.attention;4.attention;5.mlp;7.mlp;11.mlp;14.attention;5.attention;2.mlp;2.attention;16.attention;9.attention;0.mlp;8.attention;1.attention;11.attention;9.mlp
gemma2,137,-3,lars,positive,0.6405841830717776,,19.mlp;20.mlp;18.mlp;10.attention;20.attention;0.attention;18.attention;8.attention;10.mlp;19.attention;3.mlp;13.mlp;17.mlp;13.attention;17.attention;7.mlp;8.mlp;15.mlp;6.mlp;3.attention;6.attention;16.attention;2.mlp;15.attention;4.attention;0.residual;14.attention;4.mlp;5.mlp;12.attention;11.mlp;5.attention;9.attention;2.attention;16.mlp;9.mlp;1.attention;12.mlp;11.attention;14.mlp;1.mlp;7.attention;0.mlp
gemma2,3949,-1,lars,negative,0.5696449296913526,,18.mlp;0.attention;17.attention;0.mlp;20.mlp;8.mlp;3.mlp;3.attention;6.attention;4.mlp;11.attention;16.mlp;14.mlp;19.mlp;13.attention;7.mlp;6.mlp;11.mlp;15.mlp;5.attention;12.attention;20.attention;10.mlp;19.attention;9.mlp;10.attention;13.mlp;17.mlp;5.mlp;18.attention;16.attention;9.attention;2.attention;14.attention;1.attention;4.attention;1.mlp;7.attention;15.attention;2.mlp;0.residual;8.attention;12.mlp
gemma2,3949,-1,lars,positive,0.7307994747105773,,20.mlp;15.mlp;14.mlp;6.attention;11.mlp;17.mlp;18.mlp;0.attention;16.attention;3.attention;19.mlp;13.attention;10.mlp;19.attention;17.attention;7.attention;5.attention;14.attention;7.mlp;3.mlp;13.mlp;5.mlp;9.mlp;8.mlp;4.attention;10.attention;12.mlp;11.attention;18.attention;9.attention;8.attention;4.mlp;2.mlp;6.mlp;12.attention;1.attention;15.attention;0.mlp;1.mlp;2.attention;16.mlp;20.attention;0.residual
gemma2,3949,-2,lars,negative,0.6483824978555498,,18.mlp;19.mlp;20.attention;20.mlp;13.attention;8.mlp;17.mlp;11.attention;9.mlp;5.attention;19.attention;15.mlp;17.attention;15.attention;3.attention;14.mlp;6.mlp;5.mlp;7.attention;12.attention;0.mlp;1.attention;12.mlp;16.mlp;13.mlp;14.attention;0.attention;11.mlp;18.attention;16.attention;4.mlp;10.attention;10.mlp;0.residual;8.attention;9.attention;3.mlp;4.attention;1.mlp;2.attention;2.mlp;7.mlp;6.attention
gemma2,3949,-2,lars,positive,0.3539971491312194,,19.mlp;20.mlp;3.mlp;18.mlp;13.attention;20.attention;17.attention;0.attention;15.mlp;5.mlp;15.attention;19.attention;1.attention;13.mlp;10.attention;14.mlp;11.mlp;7.mlp;9.attention;3.attention;5.attention;2.mlp;6.attention;18.attention;14.attention;2.attention;8.mlp;10.mlp;12.mlp;6.mlp;4.attention;7.attention;0.residual;12.attention;1.mlp;17.mlp;0.mlp;8.attention;11.attention;9.mlp;16.attention;16.mlp;4.mlp
gemma2,3949,-3,lars,negative,0.6373232094878489,,18.mlp;19.mlp;20.mlp;12.attention;17.attention;13.attention;15.attention;14.mlp;0.residual;1.attention;3.attention;0.mlp;7.attention;19.attention;6.attention;6.mlp;17.mlp;8.mlp;16.mlp;14.attention;4.attention;16.attention;11.mlp;1.mlp;13.mlp;12.mlp;9.attention;5.attention;18.attention;0.attention;20.attention;9.mlp;11.attention;4.mlp;7.mlp;10.mlp;10.attention;15.mlp;5.mlp;2.attention;8.attention;2.mlp;3.mlp
gemma2,3949,-3,lars,positive,0.6949337356755982,,18.mlp;19.mlp;20.mlp;15.attention;15.mlp;17.attention;18.attention;14.attention;19.attention;5.attention;10.mlp;16.attention;2.mlp;3.mlp;5.mlp;13.attention;20.attention;7.mlp;8.mlp;11.mlp;0.residual;3.attention;17.mlp;0.attention;13.mlp;6.attention;4.attention;7.attention;4.mlp;1.mlp;1.attention;10.attention;12.attention;16.mlp;12.mlp;11.attention;9.mlp;0.mlp;14.mlp;2.attention;9.attention;6.mlp;8.attention
gemma2,4086,-1,lars,negative,0.4879507486395164,,18.mlp;5.attention;2.mlp;3.attention;11.attention;2.attention;8.mlp;13.attention;0.attention;6.mlp;17.mlp;16.attention;6.attention;20.attention;15.attention;19.mlp;8.attention;4.mlp;19.attention;5.mlp;20.mlp;7.attention;12.mlp;17.attention;16.mlp;14.attention;13.mlp;1.attention;10.attention;0.mlp;15.mlp;0.residual;9.attention;12.attention;1.mlp;3.mlp;10.mlp;4.attention;14.mlp;11.mlp;9.mlp;18.attention
gemma2,4086,-1,lars,positive,0.6046509289595113,,18.mlp;14.mlp;20.mlp;13.attention;20.attention;2.attention;2.mlp;8.mlp;16.mlp;13.mlp;17.mlp;9.attention;19.mlp;15.mlp;17.attention;11.attention;10.attention;9.mlp;12.mlp;1.attention;7.attention;6.mlp;11.mlp;16.attention;5.mlp;19.attention;3.attention;0.attention;5.attention;4.attention;15.attention;7.mlp;8.attention;0.residual;10.mlp;14.attention;4.mlp;1.mlp;3.mlp;6.attention;12.attention;0.mlp;18.attention
gemma2,4086,-2,lars,negative,0.5871488557894387,,20.attention;19.mlp;8.mlp;20.mlp;9.mlp;16.attention;17.attention;6.mlp;11.attention;17.mlp;6.attention;15.attention;0.residual;13.attention;18.mlp;5.attention;7.attention;16.mlp;11.mlp;12.attention;15.mlp;0.mlp;4.attention;3.attention;13.mlp;12.mlp;14.mlp;5.mlp;14.attention;2.mlp;1.mlp;9.attention;7.mlp;1.attention;2.attention;3.mlp;18.attention;10.mlp;0.attention;8.attention;4.mlp;19.attention;10.attention
gemma2,4086,-2,lars,positive,0.7093064395873501,,20.attention;18.mlp;13.mlp;10.attention;13.attention;20.mlp;17.attention;17.mlp;7.attention;19.mlp;6.mlp;5.mlp;3.mlp;9.mlp;10.mlp;15.mlp;11.attention;4.attention;0.mlp;2.mlp;0.residual;1.mlp;8.mlp;2.attention;16.attention;6.attention;1.attention;14.mlp;3.attention;8.attention;4.mlp;9.attention;19.attention;15.attention;18.attention;16.mlp;7.mlp;11.mlp;14.attention;5.attention;12.attention;0.attention;12.mlp
gemma2,4086,-3,lars,negative,0.4538719149103638,,18.mlp;20.mlp;17.attention;16.attention;19.mlp;15.attention;7.attention;13.attention;11.attention;5.mlp;16.mlp;6.attention;4.attention;17.mlp;14.mlp;8.mlp;15.mlp;18.attention;10.mlp;5.attention;9.mlp;12.attention;3.attention;13.mlp;1.attention;11.mlp;19.attention;10.attention;20.attention;4.mlp;14.attention;0.residual;6.mlp;2.mlp;8.attention;7.mlp;1.mlp;0.attention;12.mlp;9.attention;0.mlp;2.attention;3.mlp
gemma2,4086,-3,lars,positive,0.6282783816299438,,18.mlp;20.mlp;19.mlp;17.attention;5.mlp;14.mlp;20.attention;18.attention;3.mlp;9.mlp;10.attention;0.residual;13.attention;16.attention;4.attention;8.mlp;15.mlp;6.mlp;9.attention;11.mlp;19.attention;17.mlp;13.mlp;2.mlp;16.mlp;12.mlp;8.attention;2.attention;15.attention;3.attention;1.attention;5.attention;11.attention;10.mlp;0.mlp;6.attention;12.attention;7.attention;1.mlp;4.mlp;0.attention;7.mlp;14.attention
