model,steering_vector,position,method,set,r2,intercept,top_features
gemma2,1161,-1,Component Similarities,All,,,20.mlp:-0.0771;16.attention:0.0654;0.residual:0.0583;13.mlp:-0.0566;17.attention:-0.0469;4.mlp:-0.0398;6.attention:0.0378;4.attention:0.0374;0.mlp:-0.0364;14.mlp:-0.0361;19.mlp:0.0359;8.attention:-0.0352;1.mlp:-0.0349;9.mlp:-0.0334;11.attention:0.0325;8.mlp:0.0289;5.mlp:0.0283;12.attention:0.0281;7.attention:0.0264;13.attention:0.0264;15.attention:-0.0264;16.mlp:-0.0262;1.attention:0.0250;6.mlp:-0.0248;3.attention:0.0239;10.mlp:-0.0227;10.attention:-0.0216;19.attention:-0.0198;20.residual:-0.0198;11.mlp:-0.0165;3.mlp:-0.0153;0.attention:-0.0145;20.attention:-0.0143;9.attention:-0.0142;18.attention:0.0120;15.mlp:-0.0117;18.mlp:-0.0112;7.mlp:0.0074;5.attention:-0.0045;2.attention:0.0029;14.attention:-0.0024;2.mlp:0.0021;12.mlp:-0.0018;17.mlp:-0.0017
gemma2,1161,-2,Component Similarities,All,,,20.residual:0.1099;4.attention:0.0620;6.attention:0.0620;19.attention:-0.0505;11.mlp:0.0474;3.mlp:-0.0464;4.mlp:0.0413;20.mlp:0.0410;2.mlp:0.0403;7.mlp:0.0386;6.mlp:0.0381;9.attention:-0.0381;8.mlp:0.0374;18.attention:-0.0369;19.mlp:0.0361;17.mlp:0.0330;8.attention:-0.0308;10.attention:-0.0289;16.attention:0.0287;1.attention:-0.0281;15.attention:-0.0254;0.residual:-0.0244;14.mlp:0.0242;5.mlp:0.0227;14.attention:-0.0204;15.mlp:0.0200;1.mlp:0.0199;13.mlp:-0.0188;12.mlp:0.0184;18.mlp:0.0142;0.mlp:0.0121;17.attention:0.0118;2.attention:-0.0089;12.attention:0.0052;0.attention:0.0052;11.attention:-0.0045;16.mlp:-0.0034;3.attention:0.0028;10.mlp:0.0022;7.attention:0.0016;5.attention:0.0014;13.attention:0.0010;20.attention:-0.0006;9.mlp:0.0003
gemma2,1161,-3,Component Similarities,All,,,20.residual:0.1523;20.mlp:0.0894;0.attention:0.0752;8.mlp:0.0718;6.attention:0.0708;0.residual:-0.0654;17.mlp:0.0630;7.mlp:0.0566;4.attention:0.0564;19.mlp:0.0498;18.mlp:0.0493;2.mlp:0.0474;11.mlp:0.0435;3.mlp:0.0398;8.attention:-0.0398;20.attention:0.0396;5.mlp:0.0352;9.attention:-0.0342;13.mlp:-0.0332;0.mlp:0.0320;10.attention:-0.0298;15.mlp:0.0295;6.mlp:0.0283;19.attention:-0.0229;17.attention:0.0223;9.mlp:0.0222;1.mlp:0.0199;4.mlp:-0.0197;16.attention:0.0177;18.attention:-0.0175;15.attention:-0.0167;2.attention:-0.0137;16.mlp:0.0121;10.mlp:0.0103;12.mlp:-0.0101;14.attention:-0.0099;1.attention:0.0098;7.attention:-0.0074;14.mlp:0.0074;12.attention:-0.0062;13.attention:-0.0062;3.attention:0.0043;5.attention:0.0042;11.attention:-0.0032
gemma2,1200,-1,Component Similarities,All,,,20.mlp:-0.0649;1.mlp:-0.0630;3.attention:0.0630;16.attention:0.0564;0.residual:0.0544;13.mlp:-0.0457;19.attention:-0.0420;4.attention:0.0374;7.attention:0.0374;11.attention:0.0371;6.attention:0.0352;0.mlp:-0.0347;2.mlp:0.0264;20.residual:0.0262;3.mlp:-0.0229;4.mlp:-0.0215;19.mlp:0.0211;17.attention:-0.0206;15.attention:0.0188;14.mlp:-0.0176;12.mlp:0.0166;12.attention:0.0135;2.attention:0.0130;1.attention:0.0121;5.attention:0.0107;13.attention:0.0096;7.mlp:-0.0092;16.mlp:-0.0088;11.mlp:0.0085;8.mlp:-0.0082;18.attention:-0.0080;14.attention:-0.0070;9.mlp:-0.0069;5.mlp:0.0060;20.attention:0.0052;6.mlp:-0.0048;10.mlp:-0.0041;17.mlp:-0.0038;0.attention:-0.0032;18.mlp:-0.0022;10.attention:0.0020;9.attention:0.0019;8.attention:0.0017;15.mlp:-0.0008
gemma2,1200,-2,Component Similarities,All,,,20.residual:0.0938;3.mlp:-0.0659;11.mlp:0.0537;1.mlp:0.0461;4.attention:0.0430;6.mlp:0.0427;15.attention:0.0427;4.mlp:0.0398;6.attention:0.0374;19.attention:-0.0320;20.attention:0.0320;0.attention:0.0298;8.mlp:0.0288;19.mlp:0.0287;17.attention:0.0286;16.attention:0.0284;3.attention:0.0276;7.attention:0.0234;0.residual:-0.0198;2.mlp:0.0179;11.attention:0.0166;5.attention:0.0152;17.mlp:0.0140;8.attention:0.0120;2.attention:-0.0118;5.mlp:0.0118;7.mlp:0.0110;13.mlp:0.0104;10.mlp:-0.0088;1.attention:-0.0081;12.attention:-0.0076;9.attention:-0.0070;18.mlp:-0.0068;15.mlp:0.0065;13.attention:-0.0063;10.attention:-0.0059;0.mlp:0.0055;18.attention:0.0045;12.mlp:0.0041;14.attention:-0.0039;16.mlp:-0.0028;14.mlp:-0.0017;20.mlp:0.0016;9.mlp:-0.0009
gemma2,1200,-3,Component Similarities,All,,,20.residual:0.1250;20.attention:0.0747;0.attention:0.0688;11.mlp:0.0659;0.residual:-0.0596;19.mlp:0.0542;4.attention:0.0486;6.attention:0.0391;17.attention:0.0381;20.mlp:0.0356;15.mlp:0.0344;3.attention:0.0339;15.attention:0.0337;6.mlp:0.0315;17.mlp:0.0315;8.mlp:0.0275;18.mlp:0.0267;0.mlp:0.0240;7.mlp:0.0217;5.mlp:0.0211;9.mlp:0.0161;13.mlp:-0.0153;16.attention:0.0150;10.mlp:0.0146;2.attention:0.0143;8.attention:0.0138;13.attention:-0.0129;9.attention:-0.0128;5.attention:0.0119;12.attention:-0.0114;2.mlp:0.0101;14.mlp:0.0092;19.attention:-0.0070;16.mlp:-0.0063;1.mlp:0.0061;11.attention:0.0054;12.mlp:-0.0046;10.attention:0.0044;4.mlp:0.0034;3.mlp:-0.0031;7.attention:0.0024;14.attention:-0.0023;1.attention:0.0005;18.attention:-0.0004
gemma2,137,-1,Component Similarities,All,,,19.mlp:0.0471;0.residual:0.0464;9.attention:-0.0449;20.mlp:-0.0435;3.mlp:-0.0417;2.attention:-0.0376;0.mlp:-0.0364;14.mlp:-0.0347;19.attention:-0.0344;8.attention:-0.0320;13.mlp:-0.0315;7.mlp:0.0283;1.mlp:-0.0273;8.mlp:0.0267;18.attention:0.0249;6.mlp:0.0244;13.attention:-0.0243;16.attention:0.0243;4.attention:0.0238;6.attention:0.0237;16.mlp:-0.0227;10.mlp:-0.0206;20.attention:-0.0205;0.attention:-0.0194;17.attention:-0.0189;9.mlp:-0.0160;10.attention:-0.0157;11.mlp:-0.0148;11.attention:0.0144;3.attention:0.0132;5.attention:-0.0128;14.attention:0.0125;17.mlp:0.0100;15.mlp:0.0095;2.mlp:0.0091;4.mlp:0.0089;7.attention:0.0081;12.mlp:-0.0050;20.residual:-0.0035;1.attention:-0.0030;15.attention:-0.0024;5.mlp:-0.0017;12.attention:-0.0013;18.mlp:0.0013
gemma2,137,-2,Component Similarities,All,,,20.residual:0.0928;19.mlp:0.0576;3.mlp:-0.0566;11.mlp:0.0530;4.mlp:0.0505;19.attention:-0.0493;7.mlp:0.0471;0.attention:0.0457;9.attention:-0.0405;6.mlp:0.0378;4.attention:0.0376;17.mlp:0.0337;8.mlp:0.0332;6.attention:0.0322;13.attention:-0.0322;20.attention:0.0310;1.mlp:0.0293;15.mlp:0.0292;0.residual:-0.0289;1.attention:-0.0287;20.mlp:0.0287;18.mlp:0.0264;3.attention:-0.0248;16.mlp:0.0245;10.attention:-0.0228;17.attention:0.0217;2.attention:-0.0211;0.mlp:0.0165;14.attention:0.0156;10.mlp:-0.0125;8.attention:-0.0106;13.mlp:-0.0106;14.mlp:0.0100;7.attention:-0.0097;5.mlp:0.0095;11.attention:-0.0093;15.attention:-0.0092;2.mlp:-0.0063;16.attention:-0.0050;9.mlp:-0.0042;5.attention:-0.0035;12.mlp:0.0005;12.attention:-0.0005;18.attention:-0.0003
gemma2,137,-3,Component Similarities,All,,,20.residual:0.1328;20.mlp:0.0869;0.attention:0.0845;18.mlp:0.0732;19.mlp:0.0669;8.mlp:0.0574;17.mlp:0.0530;7.mlp:0.0498;2.mlp:0.0457;17.attention:0.0447;9.attention:-0.0442;13.attention:-0.0442;6.mlp:0.0435;20.attention:0.0403;0.residual:-0.0339;15.mlp:0.0302;6.attention:0.0298;8.attention:-0.0203;11.mlp:0.0203;4.attention:0.0201;16.attention:-0.0197;10.attention:-0.0192;2.attention:-0.0188;11.attention:-0.0166;16.mlp:0.0159;5.attention:-0.0153;3.attention:-0.0150;7.attention:-0.0127;13.mlp:-0.0125;14.mlp:0.0118;12.attention:-0.0114;9.mlp:0.0097;4.mlp:0.0089;18.attention:-0.0068;19.attention:-0.0067;0.mlp:0.0055;15.attention:-0.0046;1.mlp:-0.0045;14.attention:0.0027;12.mlp:-0.0022;1.attention:-0.0015;10.mlp:-0.0013;3.mlp:-0.0011;5.mlp:0.0001
gemma2,3949,-1,Component Similarities,All,,,0.residual:0.0781;20.mlp:-0.0542;12.attention:0.0498;3.mlp:-0.0496;13.mlp:-0.0491;17.attention:-0.0483;8.attention:-0.0471;9.attention:-0.0471;19.mlp:0.0447;10.attention:-0.0317;14.mlp:-0.0306;7.mlp:0.0298;1.mlp:-0.0273;16.attention:0.0269;1.attention:0.0262;0.mlp:-0.0245;19.attention:-0.0242;15.attention:-0.0236;4.mlp:-0.0234;6.attention:0.0225;10.mlp:-0.0216;4.attention:0.0208;13.attention:-0.0204;11.attention:0.0175;8.mlp:0.0172;15.mlp:-0.0167;20.residual:-0.0161;18.mlp:-0.0142;2.mlp:0.0139;9.mlp:-0.0136;7.attention:0.0112;11.mlp:0.0103;16.mlp:0.0090;20.attention:-0.0078;0.attention:0.0071;5.attention:-0.0061;2.attention:-0.0056;6.mlp:0.0054;18.attention:0.0050;5.mlp:-0.0041;14.attention:0.0025;12.mlp:0.0024;3.attention:-0.0013;17.mlp:-0.0003
gemma2,3949,-2,Component Similarities,All,,,0.residual:-0.0820;3.mlp:-0.0649;20.residual:0.0581;8.attention:-0.0532;7.mlp:0.0522;19.attention:-0.0500;9.attention:-0.0496;4.mlp:0.0483;4.attention:0.0452;11.mlp:0.0437;6.attention:0.0432;20.mlp:0.0371;8.mlp:0.0366;18.attention:-0.0356;13.attention:-0.0342;15.mlp:0.0337;10.attention:-0.0330;13.mlp:-0.0299;10.mlp:-0.0280;0.attention:0.0269;17.mlp:0.0262;17.attention:0.0248;2.mlp:0.0247;6.mlp:0.0233;16.mlp:0.0214;12.attention:0.0204;5.mlp:0.0186;20.attention:0.0173;1.mlp:0.0172;19.mlp:0.0160;1.attention:-0.0134;0.mlp:0.0133;15.attention:-0.0098;5.attention:0.0094;7.attention:-0.0093;18.mlp:0.0090;3.attention:-0.0089;2.attention:0.0074;12.mlp:0.0062;14.mlp:-0.0053;14.attention:-0.0040;16.attention:-0.0036;11.attention:-0.0026;9.mlp:0.0005
gemma2,3949,-3,Component Similarities,All,,,0.residual:-0.0850;20.residual:0.0781;0.attention:0.0737;20.mlp:0.0659;8.mlp:0.0625;8.attention:-0.0603;11.mlp:0.0571;9.attention:-0.0481;13.mlp:-0.0481;19.mlp:0.0476;17.mlp:0.0457;18.mlp:0.0454;17.attention:0.0437;10.attention:-0.0408;6.attention:0.0405;18.attention:-0.0339;20.attention:0.0334;4.attention:0.0325;7.mlp:0.0292;0.mlp:0.0286;10.mlp:-0.0282;15.mlp:0.0273;16.mlp:0.0253;6.mlp:0.0244;19.attention:-0.0242;13.attention:-0.0227;2.mlp:0.0219;5.mlp:0.0206;9.mlp:0.0184;7.attention:-0.0160;15.attention:-0.0151;3.attention:-0.0137;2.attention:-0.0134;3.mlp:-0.0128;12.attention:0.0100;16.attention:-0.0091;4.mlp:0.0073;5.attention:0.0047;14.mlp:0.0045;1.attention:0.0033;11.attention:-0.0028;1.mlp:-0.0012;14.attention:0.0006;12.mlp:0.0002
