feature,coef
blocks.20.ln2_post.hook_normalized,5.041466483730897
blocks.20.ln1_post.hook_normalized,4.972702558112767
blocks.17.ln1_post.hook_normalized,4.315511891302707
blocks.19.ln2_post.hook_normalized,4.013713321485164
blocks.18.ln1_post.hook_normalized,3.9784268188829173
blocks.18.ln2_post.hook_normalized,3.2631734461009327
blocks.9.ln1_post.hook_normalized,2.519791332992673
blocks.13.ln1_post.hook_normalized,2.4586660141477323
blocks.11.ln2_post.hook_normalized,2.245150753608284
blocks.8.ln2_post.hook_normalized,2.018308258800124
