feature,coef
blocks.17.ln1_post.hook_normalized,4.407830477326812
blocks.18.ln2_post.hook_normalized,4.3756832826202015
blocks.20.ln2_post.hook_normalized,3.8570032324715804
blocks.16.ln1_post.hook_normalized,3.7198091353841507
blocks.4.ln1_post.hook_normalized,2.856036629009063
blocks.15.ln1_post.hook_normalized,2.5246705703962338
blocks.15.ln2_post.hook_normalized,2.4568620207052123
blocks.6.ln1_post.hook_normalized,2.4483422426759573
blocks.13.ln1_post.hook_normalized,2.343937669178097
blocks.16.ln2_post.hook_normalized,2.25168249816748
