feature,coef
blocks.20.ln2_post.hook_normalized,4.238687020734353
blocks.13.ln1_post.hook_normalized,3.9144314869268926
blocks.15.ln2_post.hook_normalized,3.7900569293273496
blocks.17.ln1_post.hook_normalized,3.3026634845729705
blocks.7.ln1_post.hook_normalized,3.2590435434964324
blocks.18.ln2_post.hook_normalized,3.10384316443435
blocks.4.ln1_post.hook_normalized,2.9997336496329146
blocks.20.ln1_post.hook_normalized,2.890656292947678
blocks.14.ln2_post.hook_normalized,2.8515992323204955
blocks.9.ln2_post.hook_normalized,2.7474219458504336
