feature,coef
blocks.14.ln1_post.hook_normalized,9.483072182847092
blocks.2.ln2_post.hook_normalized,6.453368576228852
blocks.19.ln2_post.hook_normalized,6.286500729753036
blocks.19.ln1_post.hook_normalized,4.50219881427318
blocks.3.ln1_post.hook_normalized,4.004333789613052
blocks.18.ln2_post.hook_normalized,3.5589450546327734
blocks.13.ln1_post.hook_normalized,3.269104535874294
blocks.0.ln1_post.hook_normalized,3.09309579628057
blocks.7.ln1_post.hook_normalized,3.019452986452228
blocks.17.ln2_post.hook_normalized,2.8932719328369587
