model,steering_vector,position,method,set,r2,intercept,top_features
gemma2,5548,-2,diff,pos-vs-neg,,,20.residual:8.0238; 0.residual:-1.0709; 0.attention:0.6705; 0.mlp:0.6172; 11.mlp:0.6092; 6.mlp:0.4610; 4.mlp:0.4508; 8.mlp:0.3977; 9.mlp:0.3740; 3.mlp:-0.3711
gemma2,5548,-3,diff,pos-vs-neg,,,20.residual:6.9058; 0.residual:-1.7203; 0.attention:1.1608; 11.mlp:0.5317; 13.mlp:-0.5132; 20.mlp:0.4766; 8.mlp:0.4260; 17.attention:0.3964; 17.mlp:0.3760; 6.mlp:0.3572
gemma2,6832,-1,diff,pos-vs-neg,,,20.residual:4.0403; 0.residual:0.9690; 0.mlp:-0.6408; 9.attention:-0.6349; 20.mlp:-0.4565; 10.mlp:-0.3655; 13.attention:-0.3565; 8.mlp:0.3554; 11.attention:0.3421; 19.mlp:0.3271
gemma2,6832,-2,diff,pos-vs-neg,,,20.residual:10.7429; 0.residual:-1.3115; 9.attention:-0.8101; 11.mlp:0.8070; 8.mlp:0.7643; 0.attention:0.6180; 3.mlp:-0.5030; 10.mlp:-0.4580; 10.attention:-0.4546; 19.mlp:0.4503
gemma2,6832,-3,diff,pos-vs-neg,,,20.residual:22.4649; 0.attention:1.1966; 8.mlp:0.7580; 9.attention:-0.6999; 11.mlp:0.6492; 20.mlp:0.6361; 17.mlp:0.5837; 9.mlp:0.5816; 19.mlp:0.5593; 18.mlp:0.5180
gemma2,695,-1,diff,pos-vs-neg,,,20.residual:-4.3958; 0.residual:1.3922; 0.mlp:-0.7164; 20.mlp:-0.6833; 13.mlp:-0.4583; 13.attention:-0.3819; 8.attention:-0.3312; 10.attention:-0.3024; 1.mlp:-0.2925; 18.mlp:-0.2672
gemma2,695,-2,diff,pos-vs-neg,,,0.residual:-1.0671; 0.attention:0.5790; 11.mlp:0.5640; 13.attention:-0.4647; 10.mlp:-0.4594; 3.mlp:-0.4566; 9.attention:-0.4330; 8.mlp:0.3475; 10.attention:-0.3325; 7.mlp:0.3063
gemma2,695,-3,diff,pos-vs-neg,,,20.residual:4.7484; 0.attention:0.9425; 0.residual:-0.7637; 11.mlp:0.4956; 8.mlp:0.4650; 9.attention:-0.4264; 7.mlp:0.4096; 13.attention:-0.3499; 13.mlp:-0.3272; 12.attention:-0.3226
gemma2,709,-1,diff,pos-vs-neg,,,0.residual:1.4474; 20.mlp:-0.6803; 0.mlp:-0.6190; 7.attention:0.5928; 16.attention:0.5708; 5.mlp:0.4369; 9.attention:-0.4202; 17.attention:-0.4160; 19.mlp:0.4134; 1.mlp:-0.4112
gemma2,709,-2,diff,pos-vs-neg,,,20.residual:7.2664; 0.residual:-1.9727; 8.mlp:0.7865; 11.mlp:0.7026; 0.attention:0.5928; 10.attention:-0.5877; 9.attention:-0.5722; 4.attention:0.5363; 13.attention:-0.4658; 3.mlp:-0.4590
gemma2,709,-3,diff,pos-vs-neg,,,20.residual:8.7719; 0.residual:-1.3415; 0.attention:1.1663; 8.mlp:0.7908; 11.mlp:0.7027; 9.attention:-0.5810; 20.mlp:0.5545; 19.mlp:0.5515; 7.mlp:0.4949; 4.attention:0.4928
gemma2,7988,-1,diff,pos-vs-neg,,,20.residual:2.9106; 0.residual:1.9596; 16.attention:0.6872; 19.mlp:0.5776; 20.mlp:-0.5426; 17.mlp:-0.5215; 0.mlp:-0.5001; 1.mlp:-0.4910; 1.attention:0.4344; 4.mlp:-0.3764
gemma2,7988,-2,diff,pos-vs-neg,,,20.residual:11.5477; 10.mlp:-0.8567; 15.mlp:0.6681; 13.mlp:0.6239; 8.mlp:0.6050; 19.mlp:0.6047; 0.attention:0.5886; 4.attention:0.5479; 0.residual:-0.4886; 11.mlp:0.4795
gemma2,7988,-3,diff,pos-vs-neg,,,20.residual:13.9575; 0.attention:0.9702; 4.attention:0.6505; 20.mlp:0.5928; 15.mlp:0.5660; 19.mlp:0.5486; 18.mlp:0.5251; 10.mlp:-0.4612; 5.mlp:0.3487; 8.mlp:0.3486
gemma2,8015,-1,diff,pos-vs-neg,,,0.residual:1.4634; 19.mlp:0.5908; 9.attention:-0.5175; 20.mlp:-0.4602; 8.attention:-0.4385; 1.mlp:-0.4169; 18.mlp:-0.3927; 13.attention:-0.3687; 0.mlp:-0.3525; 4.attention:0.3186
gemma2,8015,-2,diff,pos-vs-neg,,,20.residual:4.4657; 0.residual:-1.6035; 0.attention:0.7792; 10.mlp:-0.6936; 9.attention:-0.5236; 6.mlp:0.5166; 11.mlp:0.5022; 7.attention:-0.4844; 8.mlp:0.4771; 13.attention:-0.4247
gemma2,8015,-3,diff,pos-vs-neg,,,20.residual:9.5088; 0.attention:0.8148; 19.mlp:0.6841; 6.mlp:0.5763; 18.mlp:0.5517; 17.mlp:0.5151; 7.mlp:0.5017; 20.mlp:0.4741; 15.mlp:0.4364; 8.attention:-0.4209
