model,steering_vector,position,method,set,r2,intercept,top_features
gemma2,4287,-1,lars,negative,0.6936666310073147,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,4287,-1,lars,positive,0.4904376093067656,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,4287,-2,lars,negative,0.4803792938986622,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,4287,-2,lars,positive,0.584086428980622,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,4287,-3,lars,negative,0.637760408187461,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,4287,-3,lars,positive,0.4286110162418035,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,5548,-1,lars,negative,0.3532957320972097,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,5548,-1,lars,positive,0.2875624175512384,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,5548,-2,lars,negative,0.6107554617180946,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,5548,-2,lars,positive,0.4249977294849462,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,5548,-3,lars,negative,0.6688348955333154,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,5548,-3,lars,positive,0.569621798051327,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,6832,-1,lars,negative,0.634376776721133,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,6832,-1,lars,positive,0.652994117793166,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,6832,-2,lars,negative,0.4542348595883243,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,6832,-2,lars,positive,0.2648050784125736,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
