model,steering_vector,position,method,set,r2,intercept,top_features
gemma2,5548,-2,Component Similarities,All,,,20.residual:0.0830; 3.mlp:-0.0588; 19.attention:-0.0557; 0.mlp:0.0547; 0.attention:0.0515; 11.mlp:0.0474; 0.residual:-0.0469; 4.mlp:0.0457; 20.mlp:0.0437; 1.mlp:0.0430
gemma2,5548,-3,Component Similarities,All,,,0.residual:-0.1055; 0.attention:0.0830; 20.residual:0.0742; 20.mlp:0.0620; 17.attention:0.0481; 13.mlp:-0.0471; 20.attention:0.0454; 11.mlp:0.0447; 8.mlp:0.0422; 17.mlp:0.0415
gemma2,6832,-1,Component Similarities,All,,,20.mlp:-0.0586; 0.residual:0.0566; 0.mlp:-0.0518; 20.residual:0.0427; 9.attention:-0.0410; 6.attention:0.0398; 17.attention:-0.0381; 19.mlp:0.0378; 13.attention:-0.0332; 8.mlp:0.0315
gemma2,6832,-2,Component Similarities,All,,,20.residual:0.1138; 3.mlp:-0.0723; 8.mlp:0.0664; 0.residual:-0.0613; 11.mlp:0.0598; 19.mlp:0.0574; 20.mlp:0.0547; 1.mlp:0.0496; 9.attention:-0.0496; 0.attention:0.0457
gemma2,6832,-3,Component Similarities,All,,,20.residual:0.1807; 20.mlp:0.0796; 0.attention:0.0786; 8.mlp:0.0752; 19.mlp:0.0679; 17.mlp:0.0664; 18.mlp:0.0630; 9.mlp:0.0586; 6.attention:0.0535; 11.mlp:0.0535
gemma2,695,-1,Component Similarities,All,,,20.mlp:-0.0825; 0.residual:0.0703; 8.attention:-0.0466; 20.residual:-0.0457; 0.mlp:-0.0439; 13.attention:-0.0417; 13.mlp:-0.0391; 19.attention:-0.0376; 1.mlp:-0.0317; 18.mlp:-0.0312
gemma2,695,-2,Component Similarities,All,,,3.mlp:-0.0718; 0.residual:-0.0698; 13.attention:-0.0605; 11.mlp:0.0579; 0.attention:0.0527; 10.mlp:-0.0471; 18.attention:-0.0430; 8.mlp:0.0398; 9.attention:-0.0347; 7.mlp:0.0339
gemma2,695,-3,Component Similarities,All,,,0.attention:0.0791; 0.residual:-0.0649; 8.mlp:0.0557; 11.mlp:0.0518; 7.mlp:0.0515; 20.residual:0.0464; 8.attention:-0.0442; 19.mlp:0.0439; 13.attention:-0.0437; 17.attention:0.0376
gemma2,709,-1,Component Similarities,All,,,20.mlp:-0.0757; 0.residual:0.0610; 16.attention:0.0540; 17.attention:-0.0486; 19.mlp:0.0452; 1.mlp:-0.0403; 7.attention:0.0391; 5.mlp:0.0374; 18.mlp:-0.0339; 0.mlp:-0.0334
gemma2,709,-2,Component Similarities,All,,,0.residual:-0.0908; 20.residual:0.0776; 8.mlp:0.0688; 3.mlp:-0.0635; 1.mlp:0.0569; 4.attention:0.0537; 11.mlp:0.0530; 13.attention:-0.0488; 10.attention:-0.0481; 0.attention:0.0435
gemma2,709,-3,Component Similarities,All,,,20.residual:0.0942; 0.residual:-0.0776; 8.mlp:0.0776; 0.attention:0.0703; 20.mlp:0.0688; 19.mlp:0.0659; 11.mlp:0.0544; 4.attention:0.0508; 7.mlp:0.0493; 8.attention:-0.0457
gemma2,7988,-1,Component Similarities,All,,,0.residual:0.0898; 16.attention:0.0659; 19.mlp:0.0630; 20.mlp:-0.0608; 1.mlp:-0.0518; 17.mlp:-0.0469; 4.mlp:-0.0442; 17.attention:-0.0410; 3.attention:0.0339; 4.attention:0.0339
gemma2,7988,-2,Component Similarities,All,,,20.residual:0.1260; 19.mlp:0.0737; 15.mlp:0.0688; 10.mlp:-0.0674; 13.mlp:0.0593; 4.attention:0.0581; 8.mlp:0.0571; 3.mlp:-0.0522; 0.attention:0.0503; 16.mlp:0.0466
gemma2,7988,-3,Component Similarities,All,,,20.residual:0.1582; 20.mlp:0.0767; 0.attention:0.0732; 4.attention:0.0708; 19.mlp:0.0698; 18.mlp:0.0635; 15.mlp:0.0608; 6.attention:0.0471; 10.mlp:-0.0447; 20.attention:0.0442
gemma2,8015,-1,Component Similarities,All,,,0.residual:0.0737; 19.mlp:0.0679; 20.mlp:-0.0542; 8.attention:-0.0508; 1.mlp:-0.0457; 19.attention:-0.0432; 18.mlp:-0.0393; 3.mlp:-0.0361; 13.attention:-0.0337; 9.attention:-0.0320
gemma2,8015,-2,Component Similarities,All,,,0.residual:-0.0693; 0.attention:0.0566; 10.mlp:-0.0496; 3.mlp:-0.0491; 18.attention:-0.0481; 20.residual:0.0479; 6.mlp:0.0447; 13.attention:-0.0437; 16.mlp:0.0425; 1.mlp:0.0422
gemma2,8015,-3,Component Similarities,All,,,20.residual:0.1030; 19.mlp:0.0786; 18.mlp:0.0659; 0.attention:0.0625; 20.mlp:0.0613; 17.mlp:0.0559; 6.mlp:0.0532; 7.mlp:0.0493; 1.mlp:-0.0486; 8.attention:-0.0479
