feature,coef
blocks.20.ln2_post.hook_normalized,6.564920706178868
blocks.19.ln2_post.hook_normalized,4.850933938979649
blocks.17.ln2_post.hook_normalized,4.614674430053379
blocks.15.ln2_post.hook_normalized,3.5815597754159185
blocks.20.ln1_post.hook_normalized,3.281248621082545
blocks.7.ln1_post.hook_normalized,3.228978895309633
blocks.17.ln1_post.hook_normalized,2.976563127567166
blocks.19.ln1_post.hook_normalized,2.5742908813460086
blocks.16.ln2_post.hook_normalized,2.4214396393698694
blocks.5.ln2_post.hook_normalized,2.4160774263500464
