feature,coef
blocks.20.ln1_post.hook_normalized,6.305603581113215
blocks.19.ln2_post.hook_normalized,5.019111799803328
blocks.20.ln2_post.hook_normalized,3.5114853567757405
blocks.11.ln2_post.hook_normalized,3.078756704706526
blocks.13.ln2_post.hook_normalized,3.005398958999725
blocks.15.ln1_post.hook_normalized,2.8015075875829156
blocks.10.ln1_post.hook_normalized,2.6734623601773966
blocks.14.ln2_post.hook_normalized,2.525450393886588
blocks.7.ln1_post.hook_normalized,2.397292239551683
blocks.15.ln2_post.hook_normalized,2.2988368260184697
