model,steering_vector,position,method,set,r2,intercept,top_features
gemma,harmfull,-1,lars,negative,0.1955306699150928,,0.residual;0.attention;0.mlp;9.mlp;5.mlp;5.attention;8.mlp;1.attention;9.attention;7.mlp;6.mlp;7.attention;6.attention;3.attention;1.mlp;3.mlp;8.attention;4.mlp;2.attention;2.mlp;4.attention
gemma,harmfull,-1,lars,positive,0.3997379925310341,,0.residual;0.mlp;7.mlp;5.mlp;9.mlp;3.mlp;9.attention;2.mlp;0.attention;1.mlp;8.mlp;6.attention;7.attention;1.attention;6.mlp;8.attention;5.attention;3.attention;4.mlp;2.attention;4.attention
gemma,harmfull,-2,lars,negative,0.4759080311614438,,0.residual;0.mlp;5.mlp;0.attention;7.mlp;6.mlp;9.mlp;3.mlp;1.mlp;1.attention;8.mlp;7.attention;2.mlp;3.attention;4.mlp;5.attention;9.attention;6.attention;2.attention;4.attention;8.attention
gemma,harmfull,-2,lars,positive,0.4710105395159059,,0.residual;0.mlp;8.mlp;0.attention;9.mlp;5.mlp;7.mlp;6.attention;9.attention;3.attention;2.mlp;5.attention;7.attention;1.mlp;6.mlp;3.mlp;1.attention;8.attention;4.mlp;2.attention;4.attention
gemma,harmfull,-3,lars,negative,0.1976302320296181,,0.residual;0.mlp;0.attention;5.mlp;7.mlp;9.mlp;6.mlp;1.mlp;3.attention;1.attention;8.mlp;3.mlp;2.mlp;7.attention;9.attention;6.attention;4.mlp;5.attention;2.attention;4.attention;8.attention
gemma,harmfull,-3,lars,positive,0.7083703402974644,,0.residual;0.mlp;0.attention;8.mlp;9.mlp;5.mlp;7.mlp;9.attention;3.attention;7.attention;5.attention;6.mlp;6.attention;2.mlp;3.mlp;1.mlp;1.attention;8.attention;2.attention;4.mlp;4.attention
