model,steering_vector,position,method,set,r2,intercept,top_features
gemma,harmfull,-1,diff,pos-vs-neg,,,10.residual:2.7230;0.residual:1.8209;0.attention:-0.8119;1.attention:-0.5433;5.mlp:0.4884;7.mlp:0.3921;3.mlp:0.2974;6.mlp:0.2793;1.mlp:-0.2759;9.mlp:0.2604;0.mlp:0.2007;8.mlp:0.1643;2.mlp:0.1121;8.attention:0.0986;9.attention:0.0877;7.attention:0.0872;3.attention:-0.0809;6.attention:0.0788;5.attention:0.0665;2.attention:-0.0496;4.attention:0.0383;4.mlp:0.0118
gemma,harmfull,-2,diff,pos-vs-neg,,,10.residual:2.6213;0.residual:1.2391;0.attention:0.5344;6.attention:0.4242;8.mlp:0.3197;1.attention:-0.2935;2.mlp:-0.2934;0.mlp:-0.2552;8.attention:0.1903;1.mlp:-0.1845;7.mlp:0.1376;9.mlp:0.1324;6.mlp:0.1313;9.attention:0.1277;7.attention:0.1261;5.attention:0.1117;4.attention:0.0801;5.mlp:0.0687;2.attention:0.0221;3.attention:-0.0201;3.mlp:0.0196;4.mlp:0.0031
gemma,harmfull,-3,diff,pos-vs-neg,,,10.residual:3.4253;0.mlp:0.4807;8.mlp:0.4555;0.attention:0.4371;5.mlp:0.3823;9.mlp:0.3112;7.mlp:0.2882;6.mlp:0.2070;3.mlp:0.1927;5.attention:0.1852;0.residual:0.1705;6.attention:0.1472;7.attention:0.1459;9.attention:0.0908;8.attention:0.0904;2.mlp:-0.0891;1.mlp:-0.0462;3.attention:0.0446;4.mlp:-0.0373;2.attention:-0.0298;1.attention:-0.0264;4.attention:0.0248
