model,steering_vector,position,method,set,r2,intercept,top_features
gemma,harmfull,-1,Component Similarities,All,,,10.residual:0.2203;5.mlp:0.1860;7.mlp:0.1590;6.mlp:0.1077;9.mlp:0.0880;3.mlp:0.0810;8.mlp:0.0627;8.attention:0.0573;7.attention:0.0518;9.attention:0.0459;5.attention:0.0372;1.mlp:-0.0360;6.attention:0.0340;1.attention:-0.0329;2.mlp:0.0224;3.attention:-0.0177;0.residual:0.0174;4.attention:0.0141;0.attention:-0.0127;2.attention:-0.0087;0.mlp:0.0081;4.mlp:0.0041
gemma,harmfull,-2,Component Similarities,All,,,10.residual:0.3267;6.attention:0.2546;8.mlp:0.1714;8.attention:0.1526;2.mlp:-0.1099;7.attention:0.1090;5.attention:0.0983;9.attention:0.0936;7.mlp:0.0863;6.mlp:0.0719;9.mlp:0.0680;1.attention:-0.0554;1.mlp:-0.0486;4.attention:0.0474;0.residual:0.0449;5.mlp:0.0340;0.attention:0.0330;0.mlp:-0.0258;3.attention:-0.0085;3.mlp:0.0085;2.attention:0.0081;4.mlp:0.0018
gemma,harmfull,-3,Component Similarities,All,,,10.residual:0.4801;8.mlp:0.2414;5.mlp:0.2142;7.mlp:0.1825;9.mlp:0.1791;5.attention:0.1703;7.attention:0.1424;6.mlp:0.1188;6.attention:0.1175;3.mlp:0.0952;8.attention:0.0780;9.attention:0.0710;0.mlp:0.0614;0.attention:0.0498;2.mlp:-0.0422;4.mlp:-0.0246;3.attention:0.0211;4.attention:0.0160;2.attention:-0.0141;1.mlp:-0.0140;0.residual:0.0096;1.attention:-0.0068
