model,steering_vector,position,method,set,r2,intercept,top_features
gemma2,1161,-2,diff,pos-vs-neg,,,20.residual:7.6913;9.attention:-0.5289;11.mlp:0.4798;4.attention:0.4211;8.mlp:0.3818;6.attention:0.3698;18.attention:-0.3554;2.mlp:0.3178;7.mlp:0.2994;13.mlp:-0.2860;10.attention:-0.2856;19.attention:-0.2734;5.mlp:0.2640;6.mlp:0.2541;20.mlp:0.2294;14.attention:-0.2214;4.mlp:0.2097;8.attention:-0.2095;19.mlp:0.2093;0.attention:0.2053;15.attention:-0.1981;0.residual:-0.1971;15.mlp:0.1954;12.mlp:0.1912;16.attention:0.1778;17.mlp:0.1651;10.mlp:0.1479;11.attention:-0.1372;0.mlp:0.1341;1.attention:-0.1286;9.mlp:0.1271;2.attention:-0.1171;16.mlp:-0.1150;17.attention:0.1130;3.mlp:-0.1031;18.mlp:0.0752;14.mlp:0.0727;5.attention:-0.0714;20.attention:0.0572;7.attention:-0.0479;3.attention:-0.0413;13.attention:-0.0383;12.attention:-0.0365;1.mlp:-0.0309
gemma2,1161,-3,diff,pos-vs-neg,,,20.residual:10.2403;0.attention:0.6870;8.mlp:0.6132;0.residual:-0.5985;9.attention:-0.4751;4.attention:0.4299;17.mlp:0.4275;6.attention:0.4103;7.mlp:0.3833;20.mlp:0.3765;0.mlp:0.3745;18.mlp:0.3538;19.mlp:0.3207;5.mlp:0.3097;17.attention:0.2899;11.mlp:0.2674;15.mlp:0.2586;1.attention:0.2502;10.attention:-0.2480;13.mlp:-0.2447;2.mlp:0.2413;8.attention:-0.2264;2.attention:-0.1885;9.mlp:0.1838;18.attention:-0.1823;3.mlp:0.1631;16.mlp:0.1309;20.attention:0.1300;19.attention:-0.1299;16.attention:0.1178;14.attention:-0.1057;14.mlp:0.1049;15.attention:-0.0976;12.mlp:-0.0926;11.attention:-0.0764;13.attention:-0.0747;7.attention:-0.0674;3.attention:-0.0599;6.mlp:0.0552;1.mlp:0.0410;10.mlp:0.0377;5.attention:-0.0300;12.attention:-0.0261;4.mlp:-0.0192
gemma2,8015,-1,diff,pos-vs-neg,,,0.residual:1.3628;19.mlp:0.5189;20.mlp:-0.5102;1.mlp:-0.4287;9.attention:-0.4258;8.attention:-0.3840;0.mlp:-0.3383;13.attention:-0.2994;4.attention:0.2911;8.mlp:0.2474;4.mlp:-0.2432;19.attention:-0.2432;15.mlp:0.2321;12.mlp:-0.2236;18.mlp:-0.2213;15.attention:-0.2035;2.mlp:0.1868;10.attention:-0.1838;13.mlp:-0.1816;3.mlp:-0.1797;1.attention:0.1669;18.attention:-0.1520;11.attention:0.1231;20.residual:0.1168;14.mlp:0.1143;14.attention:-0.1117;10.mlp:-0.1103;16.attention:-0.1039;5.mlp:0.0917;2.attention:-0.0899;7.mlp:0.0812;12.attention:0.0734;9.mlp:0.0726;3.attention:0.0625;7.attention:0.0620;6.attention:0.0503;16.mlp:-0.0454;17.mlp:0.0439;6.mlp:0.0395;5.attention:-0.0336;17.attention:-0.0274;0.attention:-0.0226;20.attention:-0.0124;11.mlp:-0.0004
gemma2,8015,-2,diff,pos-vs-neg,,,20.residual:3.3414;0.residual:-1.1735;0.attention:0.9269;9.attention:-0.4670;6.mlp:0.4274;11.attention:-0.4068;7.mlp:0.3948;10.mlp:-0.3941;7.attention:-0.3939;9.mlp:0.3921;18.attention:-0.3783;17.attention:0.3735;13.attention:-0.3403;8.mlp:0.3386;11.mlp:0.2938;15.attention:-0.2918;5.mlp:0.2901;10.attention:-0.2806;19.mlp:0.2581;15.mlp:0.2520;17.mlp:0.2495;8.attention:-0.2441;4.attention:0.2002;16.attention:-0.1739;19.attention:-0.1719;1.mlp:0.1597;18.mlp:-0.1379;14.attention:-0.1332;16.mlp:0.1303;14.mlp:0.1228;1.attention:-0.1174;0.mlp:0.1098;5.attention:-0.1065;12.attention:-0.1034;2.attention:0.0917;20.attention:0.0864;3.attention:0.0724;2.mlp:0.0544;4.mlp:0.0503;3.mlp:-0.0440;13.mlp:-0.0346;6.attention:0.0326;12.mlp:0.0251;20.mlp:0.0211
gemma2,8015,-3,diff,pos-vs-neg,,,20.residual:8.0883;0.residual:0.9040;19.mlp:0.5125;7.mlp:0.4855;18.mlp:0.4655;17.mlp:0.4652;17.attention:0.4537;16.mlp:0.4394;6.mlp:0.4210;0.attention:0.4120;9.attention:-0.4077;15.mlp:0.3939;10.mlp:-0.3759;8.attention:-0.3423;14.mlp:0.3307;11.attention:-0.3248;3.mlp:-0.3155;1.mlp:-0.3077;18.attention:-0.2880;15.attention:-0.2486;9.mlp:0.2453;3.attention:0.2429;5.mlp:0.2387;20.mlp:0.2352;13.attention:-0.2239;4.mlp:0.1980;2.attention:-0.1965;4.attention:0.1880;19.attention:-0.1616;7.attention:-0.1430;11.mlp:0.1412;8.mlp:0.1115;14.attention:-0.1101;2.mlp:-0.1012;6.attention:0.0606;20.attention:0.0590;10.attention:-0.0573;16.attention:-0.0534;5.attention:-0.0406;0.mlp:-0.0351;12.mlp:0.0319;1.attention:0.0213;13.mlp:0.0068;12.attention:-0.0063
gemma2,5548,-1,diff,pos-vs-neg,,,0.residual:2.5728;20.residual:-1.1475;11.attention:0.7377;20.mlp:-0.6255;13.mlp:-0.5745;16.attention:0.5730;1.mlp:-0.5154;19.attention:-0.4321;0.mlp:-0.4160;7.attention:0.3893;0.attention:-0.3199;14.mlp:-0.3132;13.attention:0.2622;16.mlp:-0.2599;3.attention:0.2349;10.mlp:-0.2264;19.mlp:0.1878;1.attention:0.1862;4.mlp:-0.1804;17.mlp:-0.1643;15.mlp:-0.1540;18.attention:0.1524;18.mlp:-0.1373;3.mlp:-0.1326;14.attention:-0.1287;5.mlp:0.1267;7.mlp:-0.1211;11.mlp:-0.1200;17.attention:-0.1183;8.mlp:0.1039;2.attention:-0.0994;12.mlp:0.0844;10.attention:0.0648;20.attention:-0.0629;8.attention:-0.0554;4.attention:0.0504;9.mlp:-0.0469;9.attention:-0.0466;15.attention:0.0317;6.mlp:-0.0219;12.attention:0.0207;6.attention:0.0160;2.mlp:0.0137;5.attention:0.0126
gemma2,5548,-2,diff,pos-vs-neg,,,20.residual:7.0204;0.residual:-0.8508;0.attention:0.7471;0.mlp:0.4817;11.mlp:0.4025;17.attention:0.4018;6.mlp:0.3997;9.mlp:0.3439;11.attention:0.3393;8.mlp:0.3235;19.attention:-0.3032;20.mlp:0.2963;16.attention:0.2801;7.mlp:0.2680;4.mlp:0.2371;13.mlp:-0.2272;4.attention:0.2241;7.attention:0.2062;3.mlp:-0.1942;9.attention:-0.1720;14.mlp:0.1595;14.attention:-0.1588;1.mlp:0.1583;15.mlp:0.1568;10.mlp:-0.1558;19.mlp:0.1557;16.mlp:-0.1474;8.attention:-0.1150;2.mlp:0.1138;17.mlp:0.1116;1.attention:-0.1106;6.attention:0.1083;5.mlp:0.0947;18.mlp:0.0943;5.attention:-0.0916;3.attention:0.0887;20.attention:0.0819;12.mlp:-0.0757;13.attention:0.0619;15.attention:-0.0326;2.attention:0.0241;18.attention:0.0208;10.attention:0.0142;12.attention:0.0121
gemma2,5548,-3,diff,pos-vs-neg,,,20.residual:6.7559;0.residual:-0.9273;0.attention:0.5914;17.attention:0.4553;13.mlp:-0.3499;11.mlp:0.3022;8.mlp:0.3016;10.mlp:-0.3015;17.mlp:0.2995;15.mlp:0.2906;18.mlp:0.2707;6.mlp:0.2583;7.mlp:0.2290;20.mlp:0.2202;9.attention:-0.1823;11.attention:0.1788;3.attention:0.1755;8.attention:-0.1749;14.mlp:0.1662;1.mlp:0.1653;19.attention:-0.1530;7.attention:0.1514;20.attention:0.1480;16.attention:0.1472;4.mlp:0.1433;6.attention:0.1406;9.mlp:0.0976;19.mlp:0.0929;12.mlp:-0.0891;4.attention:0.0807;18.attention:0.0744;3.mlp:-0.0675;14.attention:-0.0647;12.attention:-0.0605;0.mlp:0.0539;1.attention:-0.0428;2.attention:-0.0418;10.attention:0.0271;5.attention:-0.0252;5.mlp:-0.0106;13.attention:0.0087;2.mlp:0.0080;16.mlp:0.0072;15.attention:-0.0020
gemma2,6832,-1,diff,pos-vs-neg,,,20.residual:4.7130;0.residual:0.7711;0.mlp:-0.5641;20.mlp:-0.4939;9.attention:-0.4505;10.mlp:-0.4181;8.mlp:0.3602;15.mlp:0.3173;11.attention:0.3002;19.mlp:0.2997;12.mlp:0.2694;13.attention:-0.2629;10.attention:-0.2580;1.mlp:-0.2469;4.attention:0.2444;18.mlp:0.2421;17.attention:-0.2199;7.attention:0.2087;16.attention:0.1974;5.mlp:0.1974;2.mlp:0.1933;11.mlp:0.1870;4.mlp:-0.1642;9.mlp:0.1534;6.attention:0.1514;1.attention:0.1344;5.attention:0.1256;13.mlp:-0.1228;6.mlp:-0.1170;14.mlp:-0.1101;8.attention:-0.1079;19.attention:-0.0987;20.attention:0.0964;0.attention:-0.0955;2.attention:0.0866;16.mlp:0.0818;18.attention:0.0812;3.attention:0.0741;12.attention:0.0704;15.attention:-0.0500;3.mlp:-0.0457;17.mlp:-0.0403;14.attention:-0.0316;7.mlp:-0.0093
gemma2,6832,-2,diff,pos-vs-neg,,,20.residual:10.0234;0.residual:-1.0207;0.attention:0.7145;9.attention:-0.7047;8.mlp:0.5900;11.mlp:0.5865;10.attention:-0.3838;15.mlp:0.3730;19.mlp:0.3545;9.mlp:0.3403;20.mlp:0.3199;4.attention:0.3193;13.attention:-0.3181;3.mlp:-0.3091;4.mlp:0.2973;6.mlp:0.2867;6.attention:0.2791;13.mlp:0.2673;17.attention:0.2560;12.mlp:0.2416;14.mlp:0.2158;2.mlp:0.2031;18.attention:-0.1976;1.mlp:0.1951;11.attention:-0.1924;7.attention:-0.1903;3.attention:-0.1898;0.mlp:0.1876;14.attention:-0.1795;10.mlp:-0.1793;17.mlp:0.1755;20.attention:0.1704;15.attention:-0.1641;16.mlp:0.1327;8.attention:-0.1257;12.attention:-0.1211;16.attention:-0.1139;7.mlp:0.1096;5.mlp:0.1034;19.attention:-0.0834;1.attention:-0.0618;5.attention:0.0565;2.attention:0.0217;18.mlp:0.0170
