model,steering_vector,position,method,set,r2,intercept,top_features
gemma2,1161,-2,Component Similarities,All,,,20.residual:0.1123;4.attention:0.0557;2.mlp:0.0532;18.attention:-0.0476;11.mlp:0.0447;8.mlp:0.0444;9.attention:-0.0391;14.attention:-0.0361;19.attention:-0.0349;7.mlp:0.0347;5.mlp:0.0342;15.attention:-0.0330;2.attention:-0.0325;15.mlp:0.0322;8.attention:-0.0315;4.mlp:0.0308;6.mlp:0.0308;13.mlp:-0.0302;10.attention:-0.0292;20.attention:0.0237;3.mlp:-0.0215;17.mlp:0.0208;0.attention:0.0201;0.residual:-0.0190;20.mlp:0.0187;18.mlp:0.0181;12.mlp:0.0172;10.mlp:0.0166;16.attention:0.0151;0.mlp:0.0146;16.mlp:-0.0127;1.attention:-0.0104;3.attention:-0.0103;11.attention:-0.0093;19.mlp:0.0081;1.mlp:0.0078;13.attention:-0.0078;14.mlp:0.0072;6.attention:-0.0066;17.attention:0.0062;9.mlp:0.0050;5.attention:-0.0048;7.attention:-0.0029;12.attention:-0.0018
gemma2,1161,-3,Component Similarities,All,,,20.residual:0.1602;8.mlp:0.0674;17.mlp:0.0640;0.attention:0.0630;4.attention:0.0593;18.mlp:0.0571;20.mlp:0.0508;7.mlp:0.0493;5.mlp:0.0435;15.mlp:0.0435;2.mlp:0.0415;20.attention:0.0405;0.residual:-0.0403;2.attention:-0.0381;0.mlp:0.0369;9.attention:-0.0366;8.attention:-0.0330;17.attention:0.0330;11.mlp:0.0304;18.attention:-0.0282;10.attention:-0.0264;13.mlp:-0.0259;1.mlp:0.0254;1.attention:0.0193;14.attention:-0.0182;3.mlp:0.0178;19.mlp:0.0178;15.attention:-0.0177;3.attention:-0.0160;16.mlp:0.0123;14.mlp:0.0118;9.mlp:0.0109;6.attention:0.0089;6.mlp:0.0089;12.mlp:-0.0082;16.attention:0.0082;13.attention:-0.0081;11.attention:-0.0058;12.attention:-0.0055;10.mlp:0.0048;7.attention:-0.0042;19.attention:-0.0031;4.mlp:-0.0023;5.attention:-0.0017
gemma2,8015,-1,Component Similarities,All,,,0.residual:0.0908;20.mlp:-0.0762;1.mlp:-0.0518;8.attention:-0.0447;17.attention:-0.0374;19.mlp:0.0356;4.attention:0.0347;6.attention:-0.0347;19.attention:-0.0332;4.mlp:-0.0315;3.mlp:-0.0311;2.mlp:0.0292;13.attention:-0.0281;9.attention:-0.0269;0.mlp:-0.0258;15.attention:-0.0255;8.mlp:0.0227;18.mlp:-0.0225;15.mlp:0.0216;14.attention:-0.0210;10.attention:-0.0179;12.mlp:-0.0167;5.mlp:0.0154;13.mlp:-0.0131;20.residual:-0.0116;20.attention:0.0115;7.mlp:0.0108;1.attention:0.0107;16.attention:-0.0095;14.mlp:0.0092;16.mlp:-0.0088;9.mlp:-0.0075;10.mlp:-0.0068;11.attention:0.0068;18.attention:-0.0061;17.mlp:0.0053;12.attention:0.0048;7.attention:0.0036;5.attention:-0.0032;6.mlp:0.0016;0.attention:0.0013;3.attention:0.0011;2.attention:-0.0006;11.mlp:-0.0005
gemma2,8015,-2,Component Similarities,All,,,0.residual:-0.0688;0.attention:0.0645;18.attention:-0.0510;6.mlp:0.0466;20.residual:0.0454;7.mlp:0.0435;13.attention:-0.0383;8.mlp:0.0378;15.attention:-0.0364;5.mlp:0.0344;15.mlp:0.0339;8.attention:-0.0337;6.attention:-0.0332;10.mlp:-0.0327;20.attention:0.0325;9.attention:-0.0312;17.attention:0.0309;7.attention:-0.0297;9.mlp:0.0293;4.attention:0.0284;3.mlp:-0.0283;11.attention:-0.0281;10.attention:-0.0270;14.attention:-0.0253;17.mlp:0.0250;11.mlp:0.0248;16.attention:-0.0247;1.mlp:0.0236;20.mlp:-0.0186;3.attention:0.0154;19.attention:-0.0148;2.mlp:0.0137;1.attention:-0.0127;4.mlp:0.0126;16.mlp:0.0121;0.mlp:0.0120;14.mlp:0.0112;18.mlp:-0.0106;19.mlp:0.0104;12.attention:-0.0078;5.attention:-0.0072;2.attention:0.0058;13.mlp:-0.0055;12.mlp:0.0019
gemma2,8015,-3,Component Similarities,All,,,20.residual:0.1187;0.residual:0.0791;18.mlp:0.0728;3.mlp:-0.0664;7.mlp:0.0605;17.mlp:0.0554;16.mlp:0.0488;1.mlp:-0.0459;6.mlp:0.0459;15.mlp:0.0454;8.attention:-0.0444;17.attention:0.0437;19.mlp:0.0396;0.attention:0.0378;14.mlp:0.0366;18.attention:-0.0364;10.mlp:-0.0352;3.attention:0.0339;15.attention:-0.0325;2.attention:-0.0315;5.mlp:0.0308;4.mlp:0.0286;20.mlp:0.0271;9.attention:-0.0267;4.attention:0.0262;13.attention:-0.0248;11.attention:-0.0238;20.attention:0.0226;6.attention:-0.0216;14.attention:-0.0208;11.mlp:0.0132;16.attention:-0.0108;7.attention:-0.0101;9.mlp:0.0085;10.attention:-0.0077;8.mlp:0.0071;0.mlp:-0.0058;19.attention:-0.0058;2.mlp:-0.0044;5.attention:-0.0039;12.mlp:0.0035;13.mlp:0.0027;12.attention:-0.0017;1.attention:0.0011
gemma2,5548,-1,Component Similarities,All,,,0.residual:0.1387;20.mlp:-0.0674;19.attention:-0.0664;1.mlp:-0.0635;16.attention:0.0613;17.attention:-0.0574;11.attention:0.0491;13.mlp:-0.0454;13.attention:0.0280;20.residual:-0.0277;16.mlp:-0.0273;0.mlp:-0.0269;14.mlp:-0.0266;6.attention:-0.0253;7.attention:0.0251;18.attention:0.0249;3.mlp:-0.0239;4.mlp:-0.0237;3.attention:0.0208;10.mlp:-0.0193;0.attention:-0.0189;9.mlp:-0.0178;17.mlp:-0.0160;15.mlp:-0.0157;18.mlp:-0.0157;5.mlp:0.0143;14.attention:-0.0138;4.attention:0.0123;1.attention:0.0114;19.mlp:0.0104;11.mlp:-0.0096;7.mlp:-0.0092;15.attention:0.0080;8.mlp:0.0077;20.attention:-0.0071;8.attention:-0.0065;12.mlp:0.0060;10.attention:0.0048;6.mlp:-0.0028;9.attention:-0.0028;2.mlp:0.0022;12.attention:0.0015;2.attention:-0.0014;5.attention:-0.0003
gemma2,5548,-2,Component Similarities,All,,,20.residual:0.0815;3.mlp:-0.0664;0.mlp:0.0591;0.attention:0.0564;0.residual:-0.0544;6.mlp:0.0469;11.mlp:0.0376;8.mlp:0.0369;19.attention:-0.0366;20.mlp:0.0366;4.mlp:0.0354;7.mlp:0.0310;9.mlp:0.0299;17.attention:0.0287;15.mlp:0.0276;4.attention:0.0270;11.attention:0.0266;16.attention:0.0266;20.attention:0.0264;13.mlp:-0.0247;14.attention:-0.0219;1.mlp:0.0190;8.attention:-0.0178;7.attention:0.0171;17.mlp:0.0167;16.mlp:-0.0165;14.mlp:0.0151;10.mlp:-0.0145;18.mlp:0.0145;9.attention:-0.0134;2.mlp:0.0129;5.mlp:0.0119;3.attention:0.0110;1.attention:-0.0107;19.mlp:0.0103;5.attention:-0.0067;12.mlp:-0.0060;13.attention:0.0055;6.attention:-0.0049;12.attention:0.0048;15.attention:-0.0045;18.attention:0.0042;2.attention:0.0027;10.attention:-0.0018
gemma2,5548,-3,Component Similarities,All,,,20.residual:0.0986;0.residual:-0.0688;0.attention:0.0635;15.mlp:0.0488;17.mlp:0.0464;18.mlp:0.0454;3.mlp:-0.0442;17.attention:0.0435;20.attention:0.0422;13.mlp:-0.0388;10.mlp:-0.0378;6.mlp:0.0349;11.mlp:0.0334;20.mlp:0.0334;7.mlp:0.0327;8.mlp:0.0305;1.mlp:0.0291;8.attention:-0.0264;4.mlp:0.0254;3.attention:0.0249;14.mlp:0.0189;4.attention:0.0165;16.attention:0.0150;11.attention:0.0143;7.attention:0.0142;9.attention:-0.0136;0.mlp:0.0098;12.mlp:-0.0079;18.attention:0.0073;1.attention:-0.0063;2.attention:-0.0063;12.attention:-0.0061;14.attention:-0.0060;19.attention:-0.0056;5.attention:-0.0037;13.attention:-0.0021;6.attention:0.0016;10.attention:0.0014;9.mlp:-0.0014;2.mlp:0.0010;5.mlp:-0.0008;16.mlp:0.0005;19.mlp:-0.0003;15.attention:-0.0002
gemma2,6832,-1,Component Similarities,All,,,20.mlp:-0.0723;0.residual:0.0693;0.mlp:-0.0527;17.attention:-0.0513;20.residual:0.0437;8.mlp:0.0344;10.mlp:-0.0327;2.mlp:0.0325;4.attention:0.0317;9.attention:-0.0306;20.attention:0.0297;15.mlp:0.0295;1.mlp:-0.0287;6.attention:-0.0286;10.attention:-0.0266;5.mlp:0.0262;18.mlp:0.0259;13.attention:-0.0249;16.attention:0.0226;4.mlp:-0.0214;12.mlp:0.0210;19.mlp:0.0197;11.attention:0.0186;2.attention:0.0150;11.mlp:0.0148;6.mlp:-0.0147;7.attention:0.0146;18.attention:0.0131;1.attention:0.0109;14.mlp:-0.0099;8.attention:-0.0096;5.attention:0.0094;19.attention:-0.0086;13.mlp:-0.0078;16.mlp:0.0071;15.attention:-0.0067;3.mlp:-0.0064;14.attention:-0.0063;17.mlp:-0.0052;0.attention:-0.0046;12.attention:0.0032;3.attention:0.0029;9.mlp:0.0023;7.mlp:0.0000
gemma2,6832,-2,Component Similarities,All,,,20.residual:0.1260;3.mlp:-0.0776;0.residual:-0.0649;8.mlp:0.0640;0.attention:0.0522;11.mlp:0.0515;15.mlp:0.0505;9.attention:-0.0454;4.mlp:0.0422;4.attention:0.0420;20.attention:0.0405;13.attention:-0.0391;20.mlp:0.0359;10.attention:-0.0356;2.mlp:0.0347;19.mlp:0.0337;18.attention:-0.0325;6.mlp:0.0317;9.mlp:0.0291;1.mlp:0.0284;17.mlp:0.0284;14.attention:-0.0271;3.attention:-0.0231;15.attention:-0.0222;17.attention:0.0220;12.mlp:0.0209;13.mlp:0.0206;14.mlp:0.0206;8.attention:-0.0186;16.attention:-0.0182;0.mlp:0.0177;10.mlp:-0.0143;7.attention:-0.0136;16.mlp:0.0134;7.mlp:0.0129;5.mlp:0.0128;11.attention:-0.0123;6.attention:-0.0104;12.attention:-0.0094;1.attention:-0.0073;2.attention:-0.0073;19.attention:-0.0056;5.attention:0.0038;18.mlp:0.0021
