feature,coef
blocks.19.ln2_post.hook_normalized,5.2453726417424145
blocks.17.ln2_post.hook_normalized,4.625807728368301
blocks.20.ln1_post.hook_normalized,4.370726736948378
blocks.10.ln2_post.hook_normalized,4.252737021062955
blocks.11.ln1_post.hook_normalized,4.009975691029226
blocks.18.ln2_post.hook_normalized,3.971879396613723
blocks.11.ln2_post.hook_normalized,3.220952828846926
blocks.20.ln2_post.hook_normalized,2.955455339722522
blocks.0.ln1_post.hook_normalized,2.8257817677631394
blocks.8.ln2_post.hook_normalized,2.601403736797381
