feature,coef
blocks.13.ln1_post.hook_normalized,5.618803428818227
blocks.15.ln2_post.hook_normalized,4.613894800114348
blocks.18.ln2_post.hook_normalized,4.036277460704912
blocks.10.ln1_post.hook_normalized,3.2196597999879555
blocks.20.ln1_post.hook_normalized,3.1740704632909122
blocks.20.ln2_post.hook_normalized,2.9881998206486813
blocks.15.ln1_post.hook_normalized,2.9230985438875416
blocks.17.ln1_post.hook_normalized,2.657870560947906
blocks.14.ln2_post.hook_normalized,2.6182424565640967
blocks.19.ln2_post.hook_normalized,2.57850488522742
