feature,coef
blocks.2.ln2_post.hook_normalized,6.608789505158902
blocks.19.ln1_post.hook_normalized,5.027669999913516
blocks.15.ln1_post.hook_normalized,4.9788258585668
blocks.20.ln2_post.hook_normalized,4.724901024593535
blocks.10.ln2_post.hook_normalized,4.365566321831478
blocks.19.ln2_post.hook_normalized,4.2934548876299905
blocks.20.ln1_post.hook_normalized,3.565842132021257
blocks.11.ln1_post.hook_normalized,3.345437254832075
blocks.18.ln2_post.hook_normalized,2.933212616956215
blocks.14.ln2_post.hook_normalized,2.7842315639269524
