feature,coef
blocks.20.ln2_post.hook_normalized,5.458839571617496
blocks.19.ln2_post.hook_normalized,3.4607245575342915
blocks.17.ln1_post.hook_normalized,3.18979760503983
blocks.13.ln1_post.hook_normalized,2.8466280487972675
blocks.18.ln2_post.hook_normalized,2.7423200796222478
blocks.18.ln1_post.hook_normalized,2.7134605092221333
blocks.16.ln2_post.hook_normalized,2.4310947345353653
blocks.3.ln1_post.hook_normalized,2.241339546028317
blocks.11.ln1_post.hook_normalized,2.0992536138204483
blocks.15.ln2_post.hook_normalized,1.9019226358621766
