feature,coef
blocks.20.ln2_post.hook_normalized,4.1429448936975275
blocks.18.ln2_post.hook_normalized,3.943497059170951
blocks.19.ln1_post.hook_normalized,3.5606821131535518
blocks.13.ln1_post.hook_normalized,3.2858771089335534
blocks.17.ln2_post.hook_normalized,3.229953409054275
blocks.19.ln2_post.hook_normalized,3.163869837433536
blocks.14.ln1_post.hook_normalized,2.409803933827767
blocks.14.ln2_post.hook_normalized,2.315490713115261
blocks.2.ln2_post.hook_normalized,1.8489343274140306
blocks.7.ln1_post.hook_normalized,1.8060019183558562
