feature,coef
blocks.18.ln1_post.hook_normalized,5.2520758448065665
blocks.18.ln2_post.hook_normalized,4.1036824736556765
blocks.20.ln2_post.hook_normalized,4.068983761495372
blocks.19.ln2_post.hook_normalized,3.6857294862102035
blocks.3.ln2_post.hook_normalized,2.6479708316066275
blocks.16.ln2_post.hook_normalized,2.5833881872686413
blocks.3.ln1_post.hook_normalized,2.5210358230205956
blocks.20.ln1_post.hook_normalized,2.473993531554506
blocks.6.ln1_post.hook_normalized,2.2972674679301446
blocks.15.ln2_post.hook_normalized,2.0680079182322975
