feature,coef
blocks.17.ln1_post.hook_normalized,4.609408931009988
blocks.19.ln2_post.hook_normalized,3.286025433568983
blocks.19.ln1_post.hook_normalized,3.2808846260356885
blocks.17.ln2_post.hook_normalized,2.9986466269024277
blocks.18.ln1_post.hook_normalized,2.549907862555577
blocks.3.ln2_post.hook_normalized,2.4625114271849884
blocks.13.ln1_post.hook_normalized,2.3523885017839685
blocks.8.ln1_post.hook_normalized,2.335936251947352
blocks.10.ln1_post.hook_normalized,2.0851845419723376
blocks.18.ln2_post.hook_normalized,2.063522140967172
