model,steering_vector,position,method,set,r2,intercept,top_features
gemma,harmfull,-2,Component Similarities,All,,,blocks.10.hook_resid_pre:0.3221; blocks.6.hook_attn_out:0.2512; blocks.8.hook_mlp_out:0.1587; blocks.8.hook_attn_out:0.1565; blocks.7.hook_attn_out:0.1140; blocks.2.hook_mlp_out:-0.1133; blocks.9.hook_attn_out:0.1033; blocks.7.hook_mlp_out:0.0990; blocks.5.hook_attn_out:0.0925; blocks.6.hook_mlp_out:0.0749; blocks.1.hook_attn_out:-0.0625; blocks.9.hook_mlp_out:0.0568; blocks.0.hook_resid_pre:0.0478; blocks.4.hook_attn_out:0.0464; blocks.1.hook_mlp_out:-0.0446; blocks.0.hook_attn_out:0.0336; blocks.5.hook_mlp_out:0.0318; blocks.0.hook_mlp_out:-0.0278; blocks.3.hook_mlp_out:0.0073; blocks.3.hook_attn_out:-0.0054; blocks.2.hook_attn_out:0.0042; blocks.4.hook_mlp_out:-0.0008
gemma,harmfull,-3,Component Similarities,All,,,blocks.10.hook_resid_pre:0.4755; blocks.8.hook_mlp_out:0.2369; blocks.5.hook_mlp_out:0.1909; blocks.7.hook_mlp_out:0.1834; blocks.9.hook_mlp_out:0.1649; blocks.5.hook_attn_out:0.1636; blocks.7.hook_attn_out:0.1588; blocks.6.hook_attn_out:0.1216; blocks.6.hook_mlp_out:0.1148; blocks.3.hook_mlp_out:0.0919; blocks.8.hook_attn_out:0.0857; blocks.9.hook_attn_out:0.0784; blocks.0.hook_attn_out:0.0577; blocks.0.hook_mlp_out:0.0575; blocks.2.hook_mlp_out:-0.0345; blocks.3.hook_attn_out:0.0293; blocks.2.hook_attn_out:-0.0268; blocks.4.hook_attn_out:0.0230; blocks.4.hook_mlp_out:-0.0224; blocks.1.hook_attn_out:-0.0198; blocks.1.hook_mlp_out:-0.0114; blocks.0.hook_resid_pre:0.0096
gemma2,1161,-1,lars,negative,0.6471656167822015,,blocks.18.ln2_post.hook_normalized:6.3320; blocks.0.ln1_post.hook_normalized:5.5333; blocks.17.ln1_post.hook_normalized:0.8302; blocks.8.ln2_post.hook_normalized:1.2913; blocks.6.ln2_post.hook_normalized:0.4177; blocks.4.ln2_post.hook_normalized:0.2453; blocks.20.ln2_post.hook_normalized:0.0610; blocks.17.ln2_post.hook_normalized:0.0000; blocks.19.ln2_post.hook_normalized:0.0000; blocks.6.ln1_post.hook_normalized:0.0000; blocks.9.ln2_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.20.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.3.ln1_post.hook_normalized:0.0000; blocks.3.ln2_post.hook_normalized:0.0000; blocks.8.ln1_post.hook_normalized:0.0000; blocks.7.ln2_post.hook_normalized:0.0000; blocks.16.ln1_post.hook_normalized:0.0000; blocks.19.ln1_post.hook_normalized:0.0000; blocks.16.ln2_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.4.ln1_post.hook_normalized:0.0000; blocks.5.ln1_post.hook_normalized:0.0000; blocks.9.ln1_post.hook_normalized:0.0000; blocks.15.ln1_post.hook_normalized:0.0000; blocks.1.ln1_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.2.ln1_post.hook_normalized:0.0000; blocks.0.hook_resid_post:0.0000; blocks.5.ln2_post.hook_normalized:0.0000; blocks.2.ln2_post.hook_normalized:0.0000; blocks.0.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.7.ln1_post.hook_normalized:0.0000; blocks.10.ln1_post.hook_normalized:0.0000; blocks.18.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.15.ln2_post.hook_normalized:0.0000; blocks.1.ln2_post.hook_normalized:0.0000
gemma2,1161,-1,lars,positive,0.4345641166512858,,blocks.18.ln2_post.hook_normalized:3.5573; blocks.20.ln2_post.hook_normalized:6.2323; blocks.0.ln1_post.hook_normalized:3.6498; blocks.15.ln2_post.hook_normalized:2.4003; blocks.13.ln2_post.hook_normalized:1.2792; blocks.4.ln2_post.hook_normalized:1.0814; blocks.6.ln1_post.hook_normalized:0.3045; blocks.20.ln1_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000; blocks.5.ln1_post.hook_normalized:0.0000; blocks.3.ln1_post.hook_normalized:0.0000; blocks.6.ln2_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.17.ln1_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.4.ln1_post.hook_normalized:0.0000; blocks.19.ln2_post.hook_normalized:0.0000; blocks.8.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.8.ln2_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.15.ln1_post.hook_normalized:0.0000; blocks.7.ln2_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.3.ln2_post.hook_normalized:0.0000; blocks.2.ln1_post.hook_normalized:0.0000; blocks.19.ln1_post.hook_normalized:0.0000; blocks.17.ln2_post.hook_normalized:0.0000; blocks.9.ln2_post.hook_normalized:0.0000; blocks.16.ln1_post.hook_normalized:0.0000; blocks.0.hook_resid_post:0.0000; blocks.2.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.5.ln2_post.hook_normalized:0.0000; blocks.0.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.10.ln1_post.hook_normalized:0.0000; blocks.16.ln2_post.hook_normalized:0.0000; blocks.1.ln2_post.hook_normalized:0.0000; blocks.7.ln1_post.hook_normalized:0.0000; blocks.18.ln1_post.hook_normalized:0.0000; blocks.1.ln1_post.hook_normalized:0.0000; blocks.9.ln1_post.hook_normalized:0.0000
gemma2,1161,-2,lars,negative,0.7225981925485399,,blocks.20.ln1_post.hook_normalized:4.6066; blocks.8.ln2_post.hook_normalized:2.8582; blocks.20.ln2_post.hook_normalized:4.6913; blocks.19.ln2_post.hook_normalized:2.7716; blocks.17.ln2_post.hook_normalized:1.7540; blocks.18.ln2_post.hook_normalized:0.6939; blocks.13.ln1_post.hook_normalized:0.2872; blocks.6.ln2_post.hook_normalized:0.0000; blocks.15.ln2_post.hook_normalized:0.0000; blocks.15.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.5.ln1_post.hook_normalized:0.0000; blocks.17.ln1_post.hook_normalized:0.0000; blocks.9.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.0.ln2_post.hook_normalized:0.0000; blocks.7.ln2_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.16.ln2_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.19.ln1_post.hook_normalized:0.0000; blocks.0.hook_resid_post:0.0000; blocks.2.ln2_post.hook_normalized:0.0000; blocks.7.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.3.ln2_post.hook_normalized:0.0000; blocks.0.ln1_post.hook_normalized:0.0000; blocks.9.ln1_post.hook_normalized:0.0000; blocks.1.ln1_post.hook_normalized:0.0000; blocks.5.ln2_post.hook_normalized:0.0000; blocks.3.ln1_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.4.ln2_post.hook_normalized:0.0000; blocks.18.ln1_post.hook_normalized:0.0000; blocks.6.ln1_post.hook_normalized:0.0000; blocks.2.ln1_post.hook_normalized:0.0000; blocks.1.ln2_post.hook_normalized:0.0000; blocks.16.ln1_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000; blocks.10.ln1_post.hook_normalized:0.0000; blocks.8.ln1_post.hook_normalized:0.0000; blocks.4.ln1_post.hook_normalized:0.0000
gemma2,1161,-2,lars,positive,0.29550971149252236,,blocks.15.ln2_post.hook_normalized:3.3792; blocks.20.ln2_post.hook_normalized:2.4979; blocks.0.ln1_post.hook_normalized:1.7537; blocks.19.ln2_post.hook_normalized:1.3582; blocks.18.ln2_post.hook_normalized:1.7867; blocks.19.ln1_post.hook_normalized:1.7473; blocks.17.ln1_post.hook_normalized:0.1031; blocks.3.ln2_post.hook_normalized:0.0000; blocks.20.ln1_post.hook_normalized:0.0000; blocks.18.ln1_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.17.ln2_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.1.ln1_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000; blocks.15.ln1_post.hook_normalized:0.0000; blocks.6.ln1_post.hook_normalized:0.0000; blocks.7.ln1_post.hook_normalized:0.0000; blocks.5.ln1_post.hook_normalized:0.0000; blocks.2.ln1_post.hook_normalized:0.0000; blocks.5.ln2_post.hook_normalized:0.0000; blocks.0.hook_resid_post:0.0000; blocks.2.ln2_post.hook_normalized:0.0000; blocks.8.ln2_post.hook_normalized:0.0000; blocks.7.ln2_post.hook_normalized:0.0000; blocks.0.ln2_post.hook_normalized:0.0000; blocks.4.ln1_post.hook_normalized:0.0000; blocks.16.ln1_post.hook_normalized:0.0000; blocks.1.ln2_post.hook_normalized:0.0000; blocks.9.ln2_post.hook_normalized:0.0000; blocks.8.ln1_post.hook_normalized:0.0000; blocks.3.ln1_post.hook_normalized:0.0000; blocks.4.ln2_post.hook_normalized:0.0000; blocks.10.ln1_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.6.ln2_post.hook_normalized:0.0000; blocks.9.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.16.ln2_post.hook_normalized:0.0000
gemma2,1161,-3,lars,negative,0.6173182652657057,,blocks.18.ln2_post.hook_normalized:6.3202; blocks.20.ln2_post.hook_normalized:3.7236; blocks.19.ln2_post.hook_normalized:3.1563; blocks.17.ln1_post.hook_normalized:1.5678; blocks.17.ln2_post.hook_normalized:0.1507; blocks.13.ln1_post.hook_normalized:0.2347; blocks.6.ln1_post.hook_normalized:0.1499; blocks.14.ln2_post.hook_normalized:0.0000; blocks.16.ln2_post.hook_normalized:0.0000; blocks.3.ln1_post.hook_normalized:0.0000; blocks.15.ln1_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.1.ln2_post.hook_normalized:0.0000; blocks.0.hook_resid_post:0.0000; blocks.1.ln1_post.hook_normalized:0.0000; blocks.16.ln1_post.hook_normalized:0.0000; blocks.7.ln1_post.hook_normalized:0.0000; blocks.4.ln2_post.hook_normalized:0.0000; blocks.8.ln2_post.hook_normalized:0.0000; blocks.9.ln2_post.hook_normalized:0.0000; blocks.18.ln1_post.hook_normalized:0.0000; blocks.19.ln1_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000; blocks.15.ln2_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.4.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.2.ln2_post.hook_normalized:0.0000; blocks.2.ln1_post.hook_normalized:0.0000; blocks.7.ln2_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.6.ln2_post.hook_normalized:0.0000; blocks.5.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.8.ln1_post.hook_normalized:0.0000; blocks.10.ln1_post.hook_normalized:0.0000; blocks.9.ln1_post.hook_normalized:0.0000; blocks.20.ln1_post.hook_normalized:0.0000; blocks.0.ln2_post.hook_normalized:0.0000; blocks.5.ln2_post.hook_normalized:0.0000; blocks.3.ln2_post.hook_normalized:0.0000; blocks.0.ln1_post.hook_normalized:0.0000
gemma2,1161,-3,lars,positive,0.763361156030461,,blocks.19.ln2_post.hook_normalized:4.2535; blocks.18.ln2_post.hook_normalized:5.4770; blocks.20.ln2_post.hook_normalized:3.2592; blocks.19.ln1_post.hook_normalized:2.9130; blocks.20.ln1_post.hook_normalized:2.6627; blocks.6.ln2_post.hook_normalized:0.5671; blocks.14.ln2_post.hook_normalized:0.1439; blocks.15.ln2_post.hook_normalized:0.0000; blocks.0.hook_resid_post:0.0000; blocks.5.ln1_post.hook_normalized:0.0000; blocks.2.ln2_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.0.ln1_post.hook_normalized:0.0000; blocks.3.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.5.ln2_post.hook_normalized:0.0000; blocks.3.ln2_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.15.ln1_post.hook_normalized:0.0000; blocks.8.ln2_post.hook_normalized:0.0000; blocks.17.ln1_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000; blocks.10.ln1_post.hook_normalized:0.0000; blocks.7.ln1_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.8.ln1_post.hook_normalized:0.0000; blocks.16.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.4.ln2_post.hook_normalized:0.0000; blocks.1.ln2_post.hook_normalized:0.0000; blocks.2.ln1_post.hook_normalized:0.0000; blocks.1.ln1_post.hook_normalized:0.0000; blocks.0.ln2_post.hook_normalized:0.0000; blocks.4.ln1_post.hook_normalized:0.0000; blocks.18.ln1_post.hook_normalized:0.0000; blocks.16.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.9.ln1_post.hook_normalized:0.0000; blocks.17.ln2_post.hook_normalized:0.0000; blocks.6.ln1_post.hook_normalized:0.0000; blocks.7.ln2_post.hook_normalized:0.0000; blocks.9.ln2_post.hook_normalized:0.0000
gemma2,1161,-1,diff,pos-vs-neg,,,blocks.20.hook_resid_post:-2.1719; blocks.0.hook_resid_post:1.1749; blocks.13.ln2_post.hook_normalized:-0.7548; blocks.20.ln2_post.hook_normalized:-0.7209; blocks.16.ln1_post.hook_normalized:0.6832; blocks.11.ln1_post.hook_normalized:0.5318; blocks.0.ln2_post.hook_normalized:-0.5162; blocks.14.ln2_post.hook_normalized:-0.4744; blocks.7.ln1_post.hook_normalized:0.4209; blocks.1.ln1_post.hook_normalized:0.3904; blocks.4.ln1_post.hook_normalized:0.3739; blocks.9.ln2_post.hook_normalized:-0.3668; blocks.17.ln1_post.hook_normalized:-0.3633; blocks.4.ln2_post.hook_normalized:-0.3431; blocks.19.ln2_post.hook_normalized:0.3341; blocks.8.ln2_post.hook_normalized:0.3298; blocks.10.ln2_post.hook_normalized:-0.3157; blocks.12.ln1_post.hook_normalized:0.3122; blocks.1.ln2_post.hook_normalized:-0.3104; blocks.5.ln2_post.hook_normalized:0.3012; blocks.16.ln2_post.hook_normalized:-0.2825; blocks.6.ln2_post.hook_normalized:-0.2787; blocks.8.ln1_post.hook_normalized:-0.2756; blocks.13.ln1_post.hook_normalized:0.2735; blocks.3.ln1_post.hook_normalized:0.2319; blocks.11.ln2_post.hook_normalized:-0.2270; blocks.10.ln1_post.hook_normalized:-0.2194; blocks.6.ln1_post.hook_normalized:0.2188; blocks.15.ln1_post.hook_normalized:-0.2112; blocks.9.ln1_post.hook_normalized:-0.2031; blocks.0.ln1_post.hook_normalized:-0.1803; blocks.15.ln2_post.hook_normalized:-0.1438; blocks.19.ln1_post.hook_normalized:-0.1397; blocks.18.ln2_post.hook_normalized:-0.1138; blocks.3.ln2_post.hook_normalized:-0.0999; blocks.7.ln2_post.hook_normalized:0.0946; blocks.18.ln1_post.hook_normalized:0.0876; blocks.20.ln1_post.hook_normalized:-0.0769; blocks.5.ln1_post.hook_normalized:-0.0595; blocks.2.ln1_post.hook_normalized:0.0514; blocks.12.ln2_post.hook_normalized:-0.0309; blocks.2.ln2_post.hook_normalized:0.0229; blocks.14.ln1_post.hook_normalized:-0.0198; blocks.17.ln2_post.hook_normalized:-0.0166
gemma2,1161,-2,diff,pos-vs-neg,,,blocks.20.hook_resid_post:9.5965; blocks.11.ln2_post.hook_normalized:0.6195; blocks.4.ln1_post.hook_normalized:0.5760; blocks.9.ln1_post.hook_normalized:-0.5688; blocks.0.hook_resid_post:-0.4907; blocks.1.ln1_post.hook_normalized:-0.4246; blocks.6.ln2_post.hook_normalized:0.4245; blocks.6.ln1_post.hook_normalized:0.4135; blocks.7.ln2_post.hook_normalized:0.4074; blocks.8.ln2_post.hook_normalized:0.4053; blocks.4.ln2_post.hook_normalized:0.3634; blocks.10.ln1_post.hook_normalized:-0.3274; blocks.19.ln1_post.hook_normalized:-0.3133; blocks.3.ln2_post.hook_normalized:-0.3093; blocks.2.ln2_post.hook_normalized:0.3080; blocks.20.ln2_post.hook_normalized:0.3023; blocks.18.ln1_post.hook_normalized:-0.2988; blocks.19.ln2_post.hook_normalized:0.2929; blocks.17.ln2_post.hook_normalized:0.2891; blocks.16.ln1_post.hook_normalized:0.2792; blocks.14.ln2_post.hook_normalized:0.2776; blocks.12.ln2_post.hook_normalized:0.2583; blocks.8.ln1_post.hook_normalized:-0.2473; blocks.5.ln2_post.hook_normalized:0.2273; blocks.13.ln2_post.hook_normalized:-0.2234; blocks.15.ln2_post.hook_normalized:0.2018; blocks.15.ln1_post.hook_normalized:-0.2012; blocks.14.ln1_post.hook_normalized:-0.1545; blocks.1.ln2_post.hook_normalized:0.1319; blocks.18.ln2_post.hook_normalized:0.1266; blocks.0.ln2_post.hook_normalized:0.1233; blocks.17.ln1_post.hook_normalized:0.0842; blocks.12.ln1_post.hook_normalized:0.0820; blocks.2.ln1_post.hook_normalized:-0.0778; blocks.11.ln1_post.hook_normalized:-0.0739; blocks.0.ln1_post.hook_normalized:0.0459; blocks.16.ln2_post.hook_normalized:-0.0295; blocks.5.ln1_post.hook_normalized:0.0259; blocks.10.ln2_post.hook_normalized:0.0193; blocks.7.ln1_post.hook_normalized:0.0171; blocks.3.ln1_post.hook_normalized:0.0150; blocks.20.ln1_post.hook_normalized:0.0135; blocks.9.ln2_post.hook_normalized:0.0117; blocks.13.ln1_post.hook_normalized:0.0089
