feature,coef
blocks.18.ln2_post.hook_normalized,3.616881947262682
blocks.20.ln2_post.hook_normalized,3.5807765175853787
blocks.15.ln1_post.hook_normalized,3.092495339563067
blocks.15.ln2_post.hook_normalized,3.0697438415350473
blocks.8.ln2_post.hook_normalized,2.925334072247921
blocks.5.ln2_post.hook_normalized,2.7334198119247337
blocks.10.ln2_post.hook_normalized,2.5031536622347534
blocks.14.ln1_post.hook_normalized,2.496372564411005
blocks.1.ln1_post.hook_normalized,2.4584469096776917
blocks.14.ln2_post.hook_normalized,2.4080904448413016
