feature,coef
blocks.18.ln2_post.hook_normalized,4.927729551170912
blocks.20.ln2_post.hook_normalized,4.682280413091584
blocks.18.ln1_post.hook_normalized,3.782962295778312
blocks.19.ln2_post.hook_normalized,3.7336460281617527
blocks.17.ln1_post.hook_normalized,2.8553421896644666
blocks.3.ln1_post.hook_normalized,2.8412246733595485
blocks.15.ln2_post.hook_normalized,2.8250362944222034
blocks.1.ln1_post.hook_normalized,2.7629517977721068
blocks.6.ln1_post.hook_normalized,2.687894490349443
blocks.4.ln1_post.hook_normalized,2.397162504448346
