model,steering_vector,position,method,set,r2,intercept,top_features
gemma,harmfull,-1,lars,negative,0.19553066991509283,,blocks.0.hook_resid_pre:0.4721; blocks.0.hook_attn_out:0.6306; blocks.0.hook_mlp_out:0.4263; blocks.9.hook_mlp_out:0.6899; blocks.5.hook_mlp_out:0.3989; blocks.5.hook_attn_out:0.1875; blocks.8.hook_mlp_out:0.0402; blocks.1.hook_attn_out:0.0000; blocks.9.hook_attn_out:0.0000; blocks.7.hook_mlp_out:0.0000; blocks.6.hook_mlp_out:0.0000; blocks.7.hook_attn_out:0.0000; blocks.6.hook_attn_out:0.0000; blocks.3.hook_attn_out:0.0000; blocks.1.hook_mlp_out:0.0000; blocks.3.hook_mlp_out:0.0000; blocks.8.hook_attn_out:0.0000; blocks.4.hook_mlp_out:0.0000; blocks.2.hook_attn_out:0.0000; blocks.2.hook_mlp_out:0.0000; blocks.4.hook_attn_out:0.0000
gemma,harmfull,-1,lars,positive,0.39973799253103415,,blocks.0.hook_resid_pre:0.5287; blocks.0.hook_mlp_out:0.5850; blocks.7.hook_mlp_out:1.0030; blocks.5.hook_mlp_out:0.3841; blocks.9.hook_mlp_out:0.8536; blocks.3.hook_mlp_out:0.4144; blocks.9.hook_attn_out:0.1350; blocks.2.hook_mlp_out:0.0000; blocks.0.hook_attn_out:0.0000; blocks.1.hook_mlp_out:0.0000; blocks.8.hook_mlp_out:0.0000; blocks.6.hook_attn_out:0.0000; blocks.7.hook_attn_out:0.0000; blocks.1.hook_attn_out:0.0000; blocks.6.hook_mlp_out:0.0000; blocks.8.hook_attn_out:0.0000; blocks.5.hook_attn_out:0.0000; blocks.3.hook_attn_out:0.0000; blocks.4.hook_mlp_out:0.0000; blocks.2.hook_attn_out:0.0000; blocks.4.hook_attn_out:0.0000
gemma,harmfull,-2,lars,negative,0.47590803116144387,,blocks.0.hook_resid_pre:0.2853; blocks.0.hook_mlp_out:0.3574; blocks.5.hook_mlp_out:0.6893; blocks.0.hook_attn_out:0.3532; blocks.7.hook_mlp_out:0.5457; blocks.6.hook_mlp_out:0.4502; blocks.9.hook_mlp_out:0.6131; blocks.3.hook_mlp_out:0.0000; blocks.1.hook_mlp_out:0.0000; blocks.1.hook_attn_out:0.0000; blocks.8.hook_mlp_out:0.0000; blocks.7.hook_attn_out:0.0000; blocks.2.hook_mlp_out:0.0000; blocks.3.hook_attn_out:0.0000; blocks.4.hook_mlp_out:0.0000; blocks.5.hook_attn_out:0.0000; blocks.9.hook_attn_out:0.0000; blocks.6.hook_attn_out:0.0000; blocks.2.hook_attn_out:0.0000; blocks.4.hook_attn_out:0.0000; blocks.8.hook_attn_out:0.0000
gemma,harmfull,-2,lars,positive,0.4710105395159059,,blocks.0.hook_resid_pre:0.5195; blocks.0.hook_mlp_out:0.5544; blocks.8.hook_mlp_out:0.7783; blocks.0.hook_attn_out:0.8682; blocks.9.hook_mlp_out:1.5903; blocks.5.hook_mlp_out:0.2669; blocks.7.hook_mlp_out:0.6820; blocks.6.hook_attn_out:0.0000; blocks.9.hook_attn_out:0.0000; blocks.3.hook_attn_out:0.0000; blocks.2.hook_mlp_out:0.0000; blocks.5.hook_attn_out:0.0000; blocks.7.hook_attn_out:0.0000; blocks.1.hook_mlp_out:0.0000; blocks.6.hook_mlp_out:0.0000; blocks.3.hook_mlp_out:0.0000; blocks.1.hook_attn_out:0.0000; blocks.8.hook_attn_out:0.0000; blocks.4.hook_mlp_out:0.0000; blocks.2.hook_attn_out:0.0000; blocks.4.hook_attn_out:0.0000
gemma,harmfull,-3,lars,negative,0.19763023202961816,,blocks.0.hook_resid_pre:0.3479; blocks.0.hook_mlp_out:0.4161; blocks.0.hook_attn_out:0.4657; blocks.5.hook_mlp_out:0.4591; blocks.7.hook_mlp_out:0.4362; blocks.9.hook_mlp_out:0.2159; blocks.6.hook_mlp_out:0.0750; blocks.1.hook_mlp_out:0.0000; blocks.3.hook_attn_out:0.0000; blocks.1.hook_attn_out:0.0000; blocks.8.hook_mlp_out:0.0000; blocks.3.hook_mlp_out:0.0000; blocks.2.hook_mlp_out:0.0000; blocks.7.hook_attn_out:0.0000; blocks.9.hook_attn_out:0.0000; blocks.6.hook_attn_out:0.0000; blocks.4.hook_mlp_out:0.0000; blocks.5.hook_attn_out:0.0000; blocks.2.hook_attn_out:0.0000; blocks.4.hook_attn_out:0.0000; blocks.8.hook_attn_out:0.0000
gemma,harmfull,-3,lars,positive,0.7083703402974644,,blocks.0.hook_resid_pre:0.4843; blocks.0.hook_mlp_out:0.4677; blocks.0.hook_attn_out:0.8469; blocks.8.hook_mlp_out:0.8819; blocks.9.hook_mlp_out:1.8363; blocks.5.hook_mlp_out:0.6965; blocks.7.hook_mlp_out:0.5494; blocks.9.hook_attn_out:0.0000; blocks.3.hook_attn_out:0.0000; blocks.7.hook_attn_out:0.0000; blocks.5.hook_attn_out:0.0000; blocks.6.hook_mlp_out:0.0000; blocks.6.hook_attn_out:0.0000; blocks.2.hook_mlp_out:0.0000; blocks.3.hook_mlp_out:0.0000; blocks.1.hook_mlp_out:0.0000; blocks.1.hook_attn_out:0.0000; blocks.8.hook_attn_out:0.0000; blocks.2.hook_attn_out:0.0000; blocks.4.hook_mlp_out:0.0000; blocks.4.hook_attn_out:0.0000
gemma,harmfull,-1,diff,pos-vs-neg,,,blocks.10.hook_resid_pre:2.7230; blocks.0.hook_resid_pre:1.8209; blocks.0.hook_attn_out:-0.8119; blocks.1.hook_attn_out:-0.5433; blocks.5.hook_mlp_out:0.4884; blocks.7.hook_mlp_out:0.3921; blocks.3.hook_mlp_out:0.2974; blocks.6.hook_mlp_out:0.2793; blocks.1.hook_mlp_out:-0.2759; blocks.9.hook_mlp_out:0.2604; blocks.0.hook_mlp_out:0.2007; blocks.8.hook_mlp_out:0.1643; blocks.2.hook_mlp_out:0.1121; blocks.8.hook_attn_out:0.0986; blocks.9.hook_attn_out:0.0877; blocks.7.hook_attn_out:0.0872; blocks.3.hook_attn_out:-0.0809; blocks.6.hook_attn_out:0.0788; blocks.5.hook_attn_out:0.0665; blocks.2.hook_attn_out:-0.0496; blocks.4.hook_attn_out:0.0383; blocks.4.hook_mlp_out:0.0118
gemma,harmfull,-2,diff,pos-vs-neg,,,blocks.10.hook_resid_pre:2.6213; blocks.0.hook_resid_pre:1.2391; blocks.0.hook_attn_out:0.5344; blocks.6.hook_attn_out:0.4242; blocks.8.hook_mlp_out:0.3197; blocks.1.hook_attn_out:-0.2935; blocks.2.hook_mlp_out:-0.2934; blocks.0.hook_mlp_out:-0.2552; blocks.8.hook_attn_out:0.1903; blocks.1.hook_mlp_out:-0.1845; blocks.7.hook_mlp_out:0.1376; blocks.9.hook_mlp_out:0.1324; blocks.6.hook_mlp_out:0.1313; blocks.9.hook_attn_out:0.1277; blocks.7.hook_attn_out:0.1261; blocks.5.hook_attn_out:0.1117; blocks.4.hook_attn_out:0.0801; blocks.5.hook_mlp_out:0.0687; blocks.2.hook_attn_out:0.0221; blocks.3.hook_attn_out:-0.0201; blocks.3.hook_mlp_out:0.0196; blocks.4.hook_mlp_out:0.0031
gemma,harmfull,-3,diff,pos-vs-neg,,,blocks.10.hook_resid_pre:3.4253; blocks.0.hook_mlp_out:0.4807; blocks.8.hook_mlp_out:0.4555; blocks.0.hook_attn_out:0.4371; blocks.5.hook_mlp_out:0.3823; blocks.9.hook_mlp_out:0.3112; blocks.7.hook_mlp_out:0.2882; blocks.6.hook_mlp_out:0.2070; blocks.3.hook_mlp_out:0.1927; blocks.5.hook_attn_out:0.1852; blocks.0.hook_resid_pre:0.1705; blocks.6.hook_attn_out:0.1472; blocks.7.hook_attn_out:0.1459; blocks.9.hook_attn_out:0.0908; blocks.8.hook_attn_out:0.0904; blocks.2.hook_mlp_out:-0.0891; blocks.1.hook_mlp_out:-0.0462; blocks.3.hook_attn_out:0.0446; blocks.4.hook_mlp_out:-0.0373; blocks.2.hook_attn_out:-0.0298; blocks.1.hook_attn_out:-0.0264; blocks.4.hook_attn_out:0.0248
gemma,harmfull,-1,Component Similarities,All,,,blocks.10.hook_resid_pre:0.2203; blocks.5.hook_mlp_out:0.1860; blocks.7.hook_mlp_out:0.1590; blocks.6.hook_mlp_out:0.1077; blocks.9.hook_mlp_out:0.0880; blocks.3.hook_mlp_out:0.0810; blocks.8.hook_mlp_out:0.0627; blocks.8.hook_attn_out:0.0573; blocks.7.hook_attn_out:0.0518; blocks.9.hook_attn_out:0.0459; blocks.5.hook_attn_out:0.0372; blocks.1.hook_mlp_out:-0.0360; blocks.6.hook_attn_out:0.0340; blocks.1.hook_attn_out:-0.0329; blocks.2.hook_mlp_out:0.0224; blocks.3.hook_attn_out:-0.0177; blocks.0.hook_resid_pre:0.0174; blocks.4.hook_attn_out:0.0141; blocks.0.hook_attn_out:-0.0127; blocks.2.hook_attn_out:-0.0087; blocks.0.hook_mlp_out:0.0081; blocks.4.hook_mlp_out:0.0041
