feature,coef
blocks.20.ln2_post.hook_normalized,5.436824533458521
blocks.18.ln2_post.hook_normalized,4.025215951885833
blocks.19.ln2_post.hook_normalized,3.774313463328437
blocks.19.ln1_post.hook_normalized,2.891653631895097
blocks.15.ln1_post.hook_normalized,2.6563359114733323
blocks.6.ln1_post.hook_normalized,2.480294582670973
blocks.20.ln1_post.hook_normalized,2.435366670764083
blocks.15.ln2_post.hook_normalized,2.424521053347816
blocks.14.ln2_post.hook_normalized,2.3812520682203
blocks.1.ln1_post.hook_normalized,2.297250692343439
